Organisation Name,Services,Funded/Supported by,Availability of service,Suburb,Postal Code,Crisis/Counselling Line,Contact Person,Contact Number,Contact Number 2,SMS Line,Web,Email,Twitter,Group Meeting Time,More info,Location 1
Christian Action for Dependence H/O,Resources addressing the challenges of substance abuse,,,,,,René Combrinck (President),0562127132,"825,715,472",,http://www.cad.org.za/index.php/national,rene@saampro.co.za,,,,"Kroonstad, Free State
(-27.65327, 27.235515)"
Christian Action for Dependence Heilbron Free State,Resources addressing the challenges of substance abuse,,,,,,Paul Els (Chairman),0588523688,0739294149,,http://www.cad.org.za/index.php/freestate,pjelsheilbron@gmail.com,,,,"Heilbron, Free State
(-27.286389, 27.969444)"
Christian Action for Dependence Highveld,Resources addressing the challenges of substance abuse,,,,,,Johan De Villiers (Chairman),0827247028,,,http://www.cad.org.za/index.php/high-veld,variotek@vodamail.co.za,,,,"Gauteng
(-25.936344, 28.081311)"
Christian Action for Dependence Hoopstad Free State,Resources addressing the challenges of substance abuse,,,,,,Hennie Hattingh (Chairman),0828043707,,,http://www.cad.org.za/index.php/freestate, hnsaad@lantic.net,,,,"Hoopstad, Free State
(-27.834182, 25.912649)"
Christian Action for Dependence Jakaranda - Moot Pretoria,Resources addressing the challenges of substance abuse,,,Môregloed,,,Hendrik van Reenen (Chairman),0724917227,,,http://www.cad.org.za/index.php/northern-tvl,vanreenenc4@gmail.com,,Mon  19h00,,"M&ocirc;regloed
Pretoria, Gauteng"
Christian Action for Dependence Kana - Wierda Park Pretoria,Resources addressing the challenges of substance abuse,,,Wierda Park,,,Len Badenhorst (Chairman),0824991713,,,http://www.cad.org.za/index.php/northern-tvl,lenbad@mweb.co.za,,Wed 19h00,,"Wierda Park
Pretoria, Gauteng"
Christian Action for Dependence Katu Northern Cape,Resources addressing the challenges of substance abuse,,,,,,Gerrida,0537231235,0730085083,,http://www.cad.org.za/index.php/northern-cape,gerridamc@gmail.com,,,,"Katu, Northern Cape"
Christian Action for Dependence Kroonstad Free State,Resources addressing the challenges of substance abuse,,,,,,Jacques Botha (Chairman),0721250506,,,http://www.cad.org.za/index.php/freestate,cad@iningi.co.za,,,,"Kroonstad, Free State
(-27.65327, 27.235515)"
Christian Action for Dependence Krugersdorp West,Resources addressing the challenges of substance abuse,,,Krugersdorp West,,,Anton Jonker (Chairman),0825597487,,,http://www.cad.org.za/index.php/western-tvl,diejonkers@vodamail.co.za,,,,"Krugersdorp West
Krugersdorp, Gauteng"
Christian Action for Dependence Natal,Resources addressing the challenges of substance abuse,,,,,,Pieter Kumlehn (Chairman), 0824558421,,,http://www.cad.org.za/index.php/natal,pgkumlehn@gmail.com,,,,Natal
Christian Action for Dependence North West,Resources addressing the challenges of substance abuse,,,,,,Anna Coetzee,0824294495,,,http://www.cad.org.za/index.php/north-west,stadsmuis@yahoo.com,,,,"North West
(-26.134782, 25.654673)"
Christian Action for Dependence Northern Cape,Resources addressing the challenges of substance abuse,,,,,,Gert Le Roux (Chairman),0539272319,"823,370,555",,http://www.cad.org.za/index.php/northern-cape,mleroux@um.co.za,,,,"Northern Cape
(-29.573402, 21.205136)"
Christian Action for Dependence Northern Transvaal,Resources addressing the challenges of substance abuse,,,,,,Linda Lourens (Chairman),0825701291,,,http://www.cad.org.za/index.php/northern-tvl,cadpretoria@gmail.com,,,,"Pretoria, Gauteng
(-25.725, 28.184722)"
Christian Action for Dependence Paarl,Resources addressing the challenges of substance abuse,,,,,,Christo Jacobs (Vice-Chairman),0218632076,,,http://www.cad.org.za/index.php/s-w-cape,zanddrift@telkomsa.net,,,,"Paarl, Western Cape
(-33.741667, 18.975)"
Christian Action for Dependence Parow East,Resources addressing the challenges of substance abuse,,,,,,Kobus Pienaar (Chairman) ,0219304472,0794343194,,http://www.cad.org.za/index.php/s-w-cape,cad@ramot.co.za,,,,"Parow East, Western Cape
(-33.904664, 18.605304)"
Christian Action for Dependence Parys Free State,Resources addressing the challenges of substance abuse,,,,,,Casper Marais (Chairman),0823969544,,,http://www.cad.org.za/index.php/freestate,vvaparys@telkomsa.net,,,,"Parys, Free State
(-26.901772, 27.457797)"
Christian Action for Dependence Phalaborwa,Resources addressing the challenges of substance abuse,,,,,,Niek en Alta Kleynhans,0828023753,,,http://www.cad.org.za/index.php/northern-tvl,niekenalta@vodamail.co.za,,,,"Phalaborwa, Limpopo
(-23.948502, 31.137577)"
Christian Action for Dependence Rustenburg,Resources addressing the challenges of substance abuse,,,,,,Pastor Eddie de Villiers,0722301582,,,http://www.cad.org.za/index.php/northern-tvl,eddiedevilliers@gmail.com,,Tue 15h00 (Eng) / 19h00 (Afr),,"Rustenburg, North West
(-25.665655, 27.241448)"
Christian Action for Dependence Vereeniging,Resources addressing the challenges of substance abuse,,,,,,Aubrey Venter (Chairman),834416980,,,http://www.cad.org.za/index.php/western-tvl,aubreyventer@telkomsa.net,,,,"Vereeniging, Gauteng
(-26.674722, 27.926111)"
Christian Action for Dependence Vereeniging 2,Resources addressing the challenges of substance abuse,,,,,,Sanita,0832789152,,,http://www.cad.org.za/index.php/western-tvl,,,,,"Vereeniging, Gauteng
(-26.674722, 27.926111)"
Christian Action for Dependence Viljoenskroon Free State,Resources addressing the challenges of substance abuse,,,,,,Ansie Kinnaer (Chairman),0839572186,,,http://www.cad.org.za/index.php/freestate,,,,,"Viljoenskroon, Free State"
Christian Action for Dependence Virginia Free State,Resources addressing the challenges of substance abuse,,,,,,Stoffel Prinsloo (Chairman),0733026767,,,http://www.cad.org.za/index.php/freestate,kmdnel@telkomsa.net,,,,"Virginia, Free State
(-28.103056, 26.859444)"
Christian Action for Dependence Welkom Free State,Resources addressing the challenges of substance abuse,,,Bronville,,,JB Joubert (Chairman),0828014456,,,http://www.cad.org.za/index.php/freestate,cad@iningi.co.za,,,,"Bronville
Welkom, Free State"
Christian Action for Dependence Welkom Free State,Resources addressing the challenges of substance abuse,,,,,,Jacques Botha (Chairman),0721250506,,,http://www.cad.org.za/index.php/freestate,cad@iningi.co.za,,,,"Welkom, Free State
(-27.980657, 26.734956)"
Christian Action for Dependence Wesselsbron Free State,Resources addressing the challenges of substance abuse,,,,,,Gert Coetzee (Chairman),0795161065,,,http://www.cad.org.za/index.php/freestate,mulsweis@lantic.net,,,,"Wesselsbron, Free State
(-27.853889, 26.364722)"
Christian Action for Dependence Worcester,Resources addressing the challenges of substance abuse,,,,,,Basie Kilian (Chairman),0233470708,0825760723,,http://www.cad.org.za/index.php/s-w-cape,sheriffworcester@intekom.co.za,,,,"Worcester, Western Cape
(-33.646239, 19.445927)"
CODA (Codependents Anonymous),Drug Support Group,,,Milnerton,,,,0729706811 ,,,,,,,,"Milnerton
Cape Town, Western Cape"
Cradock White Door Centre of Hope,Support for victims of gender based violence,,,Lingelihle,,,,,,,,,,,,"Lingelihle
Cradock, Eastern Cape"
Creative Effective Families (CEF),Shelter for abused women and children,Department of Social Development (Western Cape Government),24 hours,,,0446931092,,0446931092,,,,cefmb@telkomsa.net ,,,,"Mossel Bay, Western Cape
(-34.181213, 22.141105)"
CTDCC Cape Town Drug Counselling Centre Mitchells Plain,Resources addressing the challenges of substance abuse,,,Mitchells Plain,,,,0213970103,,,drugcenter.org.za,ctdccmp@mweb.co.za,,,,"Mitchells Plain
Cape Town, Western Cape"
CTDCC Cape Town Drug Counselling Centre Observatory,Resources addressing the challenges of substance abuse,,,Observatory,,,,0214478026,,,drugcenter.org.za,ctdcc@iafrica.com,,,,"Observatory
Cape Town, Western Cape"
CWD Bonne Esperance Refugee Shelter For Women & Children,Shelter for abused women and children,Department of Social Development (Western Cape Government),,,,,,0216919750 ,,,http://www.cwd.co.za,esperance@mweb.co.za,,,,"Cape Town, Western Cape
(-33.928905, 18.417249)"
Daughters of Zion (May Thaysen),Shelter for unemployed families,Soul Food,,Klispruit West,,,,,,,,,,,,"Klispruit West
Johannesburg, Gauteng"
Department of Social Development Substance Abuse Line 24hr helpline,Counselling support service,,24 hours,,,0800121314,,,,32312,,,,,,
Department of Social Development's Substance Abuse Line,,,,,,0800121314,,,,32312,,,,,,
Deurgangshuis – SAVF,Shelter for abused women and children,Gauteng Department of Social Development,,,,,Mariette Hartley,,0187861016,,,savfville@mweb.co.za,,,,"Carletonville, Gauteng
(-26.347244, 27.393926)"
Dordrecht White Door Centre Centre of Hope,Support for victims of gender based violence,,,,,,,,,,,,,,,"Dordrecht, Eastern Cape
(-31.37337, 27.046462)"
Dr. Brenda van Rooyen,Educational Psychologist,,,Parklands,,,Dr. Brenda van Rooyen,0215571977  ,0824483638,,http://www.blaauwberg.net/cic/default.asp,brendavanrooyen@telkomsa.net  ,,,,"Parklands
Cape Town, Western Cape"
Drug Testing Laboratory,Drug Testing,,,Parow,,,,0219334770 ,,,,,,,,"Parow
Cape Town, Western Cape"
Durban LBGT Community Centre,Empowering the LGBT community through support & training,,,Morningside,,,Nonhlanhla Mkhize (Centre Manager) ,0313127402 / 42,,,http://www.gaycentre.org.za/about.asp,mc@gaycentre.org.za / info@gaycentre.org.za,,,,"Morningside
Durban, Kwazulu Natal"
Dusk to Dawn,Shelter for abused women and children,Department of Social Development (Western Cape Government),,Ravensmead,,,,0219313622 ,,,,,,,,"Ravensmead
Cape Town, Western Cape"
Ekhaya Overnight Shelter,Overnight shelter for men and women - no children,Soul Food,,Hillbrow,,,,,,,,,,,,"Hillbrow
Johannesburg, Gauteng"
Eldorado Park Women's Forum,Temporarily place of safety for Women and their children who are victims of domestic violence and abuse,Gauteng Department of Social Development,,,,,Evans Gassi ,0119456433,0729507626  ,,,evansgassi14@gmail.co.za,,,,"Eldorado Park, Gauteng
(-26.297275, 27.89595)"
Elizabeth Oosthuizen ,Counselling Psychologist,,,Milnerton,,,Elizabeth Oosthuizen,021 555 1484,0827396321,,,erooted@absamail.co.za ,,,,"Milnerton
Cape Town, Western Cape"
El-O-Him Shelter,Shelter for abused women and children,Department of Social Development (Western Cape Government),,Mitchells Plain,,,,0213971936 ,,,,,,,,"Mitchells Plain
Cape Town, Western Cape"
Eluncedweni White Door Centre of Hope,Support for victims of gender based violence,,,,,,,,,,,,,,,"Keiskammahoek, Eastern Cape
(-32.681667, 27.151389)"
Embrace Dignity,NGO for empowerment of women through opposing prostitution,,,Cape Town Centre,,,,0214613139 / 0214612634,,,http://embracedignity.org.za/site/,info@embracedignity.org.za,,,,"Cape Town Centre
Cape Town, Western Cape"
"Family & Marriage Society of South Africa (FAMSA), Border (East London)",Imparts knowledge and expertise to inidividual families,,,Southernwood,5213,,Ms Thosi Sishuba (Director),0437438277 / 8577,,,,admin@famsa-bc.org.za,,,,"Southernwood
East London, Eastern Cape 5213"
"Family & Marriage Society of South Africa (FAMSA), Grahamstown","Positive parenting, family focus, family fun",,,,6139,,Mrs Anne Harris (Director),0466222580,,,,famsa@imaginet.co.za,,,,"Grahamstown, Eastern Cape 6139
(42.584774, 25.470252)"
"Family & Marriage Society of South Africa (FAMSA), Port Elizabeth",Family values through media,,,Port Elizabeth Central,6001,,Mrs S Erna Jonker (Director),0415859393,,,,pe@famsa.org.za,,,,"Port Elizabeth Central
Port Elizabeth, Eastern Cape 6001"
"Family & Marriage Society of South Africa (FAMSA), Stutterheim",Emowering dysfunctional families through counselling & parenting,,,,4930,,Mr. Nyika Machenjedze (Director),0436831418,,,,famsastutt@mwebbiz.co.za,,,,"Stutterheim, Eastern Cape 4930
(41.508354, 24.996199)"
Family and Marriage Association of SA,Family support through stressful situations,,,,,,,0119757106/7,,,www.famsa.org.za,national@famsa.org.za,,,27 offices nationally,
FAMSA (Family and Marriage Society of South Africa) Dunoon,Counselling Services for rape,,,Dunoon,,,,0215561945,,,,,,,,"Dunoon
Cape Town, Western Cape"
FAMSA (Family and Marriage Society of South Africa) Elsiesriver,Counselling Services for rape,,,Elsiesriver,,,,0219464744 ,,,,,,,,"Elsiesriver
Cape Town, Western Cape"
FAMSA (Family and Marriage Society of South Africa) Gugulethu,Counselling Services for rape,,,Gugulethu,,,,0216376706 ,,,,,,,,"Gugulethu
Cape Town, Western Cape"
FAMSA (Family and Marriage Society of South Africa) Joe Slovo Milnerton,Counselling Services for rape,,,Milnerton,,,,0215561945 ,,,,,,,,"Milnerton
Cape Town, Western Cape"
FAMSA (Family and Marriage Society of South Africa) Kensignton Factreton,Counselling Services for rape,,,Factreton,,,,0215938074 ,,,,,,,,"Factreton
Cape Town, Western Cape"
FAMSA (Family and Marriage Society of South Africa) Khayelitsha,Counselling Services for rape,,,Khayelitsha,,,,0213619098 ,,,,,,,,"Khayelitsha
Cape Town, Western Cape"
FAMSA (Family and Marriage Society of South Africa) Mitchells Plain,Counselling Services for rape,,,Mitchells Plain,,,,0213720022 ,,,,,,,,"Mitchells Plain
Cape Town, Western Cape"
FAMSA (Family and Marriage Society of South Africa) Observatory,Counselling Services for rape,,,Observatory,,,,0214470170 ,,,,,,,,"Observatory
Cape Town, Western Cape"
Frida Hartley Shelter,Shelter for destitute /homeless women and their children,Private sector,,Bellevue,2198,,B Bassadien,0116486005,,,,,,,,"Bellevue
Johannesburg, Gauteng 2198"
Golden Triangle Women's Group,Workshops on domestic violence. Counselling & support groups,,,Devland Ext 1,1804,,Delisile P Dlamini,0113425798 ,,,,,,,,"Devland Ext 1
Lenasia, Gauteng 1804"
Greater Nelspruit Rape Intervention Project (GRIP),"Support, counselling, treatment & crisis care for rape survivors",,,,1200,,,0137524404 / 0137525993,,,http://www.grip.org.za/,info@grip.org.za,,,,"Nelspruit, Mpumalanga 1200
(48.229973, 16.371085)"
Guide to Divorce & Separation in South africa,Family Law Attorneys,,,,,,Bertus Preller (Family Law Attorney),021 422 2461  ,,,http://www.divorcelaws.co.za/domestic-violence.html,info@divorceattorney.co.za,,,,
Heaven Shelter House,Shelter for abused women and children,Department of Social Development (Western Cape Government),,,,,,0213716980 ,,,,heavenshelterct@gmail.com,,,,"Cape Town, Western Cape
(-33.928905, 18.417249)"
Helenvale White Door Centre of Hope,Support for victims of gender based violence,,,Helenvale,,,,,,,,,,,,"Helenvale
Port Elizabeth, Eastern Cape"
Henry Meiring,Clinical Psychologist,,,Century City,,,Henry Meiring ,021250 0207,0845557832,,,hjmeiring@gmail.com  ,,,,"Century City
Cape Town, Western Cape"
House of Hope,Shelter for abused women and children,Department of Social Development (Western Cape Government),,,,,,0227151387,,,http://www.houseofhope.biz,houseofhope@telkomsa.net,,,,"Vredenburg, Western Cape
(-32.915, 18.001667)"
House To Your destiny,Shelter for abused women and children,Department of Social Development (Western Cape Government),,,,,,0219314936 ,,,,Housetoyourdestiny@gmail.com,,,,"Matroosfontein, Western Cape
(-33.939773, 18.572767)"
Ihata Shelter,Shelter for abused women and children,Department of Social Development (Western Cape Government),,,,,,0216385578 ,,,,info@irfsa.com,,,,"Cape Town, Western Cape
(-33.928905, 18.417249)"
Ikaya Lethemba,Shelter for abused women and children,Gauteng Department of Social Development,,Braamfontein,,,Connie Ramatabele (Community Safety),0112423000,0832867948,,,nomsa.ramathibela@gauteng.gov.za  ,,,,"Braamfontein
Johannesburg, Gauteng"
Ilitha Labantu,Shelter for abused women and children,Department of Social Development (Western Cape Government),,,,,,0216332383 ,,,,admin@ilithalabantu.org,,,,"Gugulethu, Western Cape"
Immaculata Mercy Centre,Shelter,Soul Food,,Rosebank,,,,,,,,,,,,"Rosebank
Johannesburg, Gauteng"
IRFSA's Ihata Shelter,Shelter for abused women with children,,,,,,Ms Tasneem Davids,0216385578,,,http://www.irfsa.com/,info@irfsa.com,,,,
Iso Lentuthuko,"HIV & rape counselling, home based care, HIV/AIDS education",,,,4001,,,0317019456,,,,,,,,"Durban, Kwazulu Natal 4001
(32.29746, 67.1909)"
Janet Bytheway,Clinical Psychologist,,,Table View,,,Janet Bytheway,0215576066,0215575027  ,,www.janetbytheway.co.za,janet@janetbytheway.co.za  ,,,,"Table View
Cape Town, Western Cape"
Jones Safe House,Shelter for abused women and children,,,Kommetjie,,,,0217856710,,,http://www.thejonessafehouse.org/index.html,info@thejonessafehouse.org / ec@thejonessafehouse.org,,,,"Kommetjie
Cape Town, Western Cape"
Kerr House,Hospice for Women,,,,,,Nirri Moethilalh,0837847770 / 0313032912,,,,kerrhouse@telkomsa.net,,,,"Durban, Kwazulu Natal
(-29.854167, 31.05)"
Kraaifontein Support Group,Counselling Services for rape,,,Kraaifontein,,,,0219884869,,,,,,,,"Kraaifontein
Cape Town, Western Cape"
Kuilsriver Support Group,Counselling Services for rape,,,Kuilsriver,,,,0219034262,,,,,,,,"Kuilsriver
Cape Town, Western Cape"
L’ Abrie De Dieu Safe House,Shelter for abused women and children,Department of Social Development (Western Cape Government),,,,,,0218832574 ,,,http://www.safehousestellenbosch.co.za,lee@safehousestellenbosch.co.za,,,,"Stellenbosch, Western Cape
(-33.934444, 18.869167)"
Legal Aid Board Athlone,Legal Support & Service,,,Athlone,,,,0216975252 ,,,,,,,,"Athlone
Cape Town, Western Cape"
Legal Aid Board Bellville,Legal Support & Service,,,Bellville,,,,0219493062 ,,,,,,,,"Bellville
Cape Town, Western Cape"
Legal Aid Board Cape Town,Legal Support & Service,,,,,,,0214264126,,,,,,,,"Cape Town, Western Cape
(-33.928905, 18.417249)"
Legal Aid Board Cape Town,Legal Support & Service,,,,,,,0214245660 ,,,,,,,,"Cape Town, Western Cape
(-33.928905, 18.417249)"
Legal Aid Board Mitchells Plain,Legal Support & Service,,,Mitchells Plain,,,,0213704257 ,,,,,,,,"Mitchells Plain
Cape Town, Western Cape"
Legal Aid Board Stellenbosch,Legal Support & Service,,,,,,,0218829221,,,,,,,,"Stellenbosch, Western Cape
(-33.934444, 18.869167)"
Legal Aid Board Stellenbosch University,Legal Support & Service,,,Stellenbosch University,,,,0218083432 ,,,,,,,,"Stellenbosch University
Stellenbosch, Western Cape"
Legal Aid Board University of Cape Town Rondebosch,Legal Support & Service,,,Rondebosch,,,,0216503775,,,,,,,,"Rondebosch
Cape Town, Western Cape"
Legal Aid Board University of Western Cape Bellville,Legal Support & Service,,,Bellville,,,,0219592756,,,,,,,,"Bellville
Cape Town, Western Cape"
Leratong Place of Love,Shelter for abused women and children,Gauteng Department of Social Development,,,,,Claudette Westley ,0113631368/9,0721064983,,,cewestley@mweb.co.za,,,,"Springs, Gauteng
(-26.243056, 28.431667)"
Lifeline - Cape Town,Counselling Services for rape,,,,,0861322322,,0214611111,,,,,,,,"Cape Town, Western Cape
(-33.928905, 18.417249)"
LifeLine / ChildLine Western Cape,24 hour crisis intervention,,24 hours,,8001,0214611113,,0214611113,,,http://lifelinesa.co.za/contact-us/south-africa-lifelinechildline-western-cape/,info@lifelinewc.org.za,,,,"Cape Town, Western Cape 8001
(41.61028, 20.00889)"
LifeLine Durban,24 hour crisis intervention,,24 hours,Stamford Hill,4001,0113122323,,0313031344,,,http://lifelinesa.co.za/centres-2/south-africa-lifeline-durban/,director@lifelinedurban.org.za ,,,,"Stamford Hill
Durban, Kwazulu Natal 4001"
LifeLine Ekurhuleni,24 hour crisis intervention,,24 hours,,1501,0114224242,,0114210384,,,http://lifelinesa.co.za/contact-us/south-africa-lifeline-ekurhuleni/,lifelineoffice@gmail.com/ lifelinecounselling@gmail.com,,,,"Benoni, Gauteng 1501
(35.28156, 69.48558)"
LifeLine Free State,24 hour crisis intervention,,24 hours,,9459,0720688159,,0573572746 / 2225,,,http://lifelinesa.co.za/contact-us/south-africa-lifeline-free-state/,llfs@telkomsa.net,,,,"Welkom, Free State 9459
(49.898667, 6.205538)"
