INCIDENT,I DESCRIPTION,CLASSIFICATION,DAY,MONTH,YEAR,Full date,TIME_OF_INCIDENT,HOUR RANGE,SUBURB,TOWN,VEHICLES__total,WHAT_WAS_BURNING,DESCRIPTION,ACTIONS_OF,EQUIPMENT_,FPA_SUSPEC,DETAILS_OF,PUMPING_TI,DISTRICT,STATIONS,SUBURB_GEO,PRED_DWELL,AMHHI,PRED_LSMGR,PRED_TENURE,PRED_LANGUAGE,PRED_RACE,PRED_AGE,PRED_MARITAL STATUS,PRED_EDUCATION,POPULATION,SUBURB_AREA,STREET,LONGITUDE,LATITUDE
Other,Miscellaneous,"Fire, automatically extinguished",26,June,2010,06/26/2010 12:00:00 AM,0:00,0:00 - 0:30,Khayelitsha,Tygerberg,00:25|00:25|00:25|00:20|00:27,Gas Vapours,Minor Structural Fire,Nil,Nil,Open Flames,,,East,Khayelitsha,Bongani TR Section,Informal,1933,LSM 01,Occupied,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,8799,696000,Mississippi Way,18.650269999999999,-34.032004999999998
Transport,Car/Motorcycle,"False Alarm, Good Intent",4,July,2010,07/04/2010 12:00:00 AM,0:00,0:00 - 0:30,Hanover Park,South Peninsula,0:10,,,,,,False Alarm With Good Intent. Due To E11 Being Stood Down By Saps,,West,Ottery,Hanover Park,Flats,3845,LSM 05,Rented,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,36545,209000,Vanguard Drive|m 7,18.528939000000001,-33.994663000000003
Residential,Informal,"Fire, manually extinguished",28,August,2010,08/28/2010 12:00:00 AM,0:00,0:00 - 0:30,Fisantekraal,,01:09|00:58|01:00|00:37,"Bed, Bedding And Personal Effects, Etc.",Minor Structural Fire,Extinguished: One Fog Jet From E04 Motor Pump. (2300 Litres),1 X Hosereel,Other,Unknown,0:19,North,"Durbanville, Kraaifontein",Fistantekraal Informal,Informal,1719,LSM 01,Owned Paid In Full,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,3382,0.08,Lichtenburg Road,18.716988000000001,-33.786158
Residential,Informal,"Fire, manually extinguished",13,October,2010,10/13/2010 12:00:00 AM,0:00,0:00 - 0:30,Ktc,Cape Town,01:01|01:03|01:07|01:07,"Bed, Bedding, Household Furniture And Personal Effects, Etc.",,Exstinguished With 2 Fog Jets,2 X Hose Reels,Open Flames,,,East,Guguletu,KTC Informal,Informal,2769,LSM 03,Owned Paid In Full,IsiXhosa,Black African,Age 0 - 4,Unmarried,Secondary,3741,0.12,Z.Memani Road,18.576432,-33.987912999999999
Residential,Formal,"Fire, automatically extinguished",15,December,2010,12/15/2010 12:00:00 AM,0:00,0:00 - 0:30,Eersterivier,Tygerberg,00:34|00:33,,Special Service,Made Sure Area Was Safe,Nil,Electrical Faults,Shortcercuit In Electrical Wiring Igniting Insulation.,,East,Mfuleni,De Wijnlanden,BrHse_SepStand,48274,LSM 14,Rented,Afrikaans,White,Age 25 - 29,Married,Tertiary Plus,686,0.74,Rembrandt Crescent,18.740114999999999,-34.007533000000002
Residential,Formal,,26,December,2010,12/26/2010 12:00:00 AM,0:00,0:00 - 0:30,Kensington,Cape Town,02:03|00:35|00:47|00:27,,,,,,,,North,"Epping, Goodwood, Melkbos",Kensington,BrHse_SepStand,14316,LSM 09,Owned Paid In Full,English,Coloured,Age 25 - 29,Unmarried,Secondary,13247,188000,Ninth 9th Street,18.505738999999998,-33.911023
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",14,April,2011,04/14/2011 12:00:00 AM,0:00,0:00 - 0:30,Rugby,Blaauwberg,1:22,Vegetation,Minor Vegetation Fire,Extinguished Fire Using Two Jets From Dividing Breeching Backed Up From Street Hydrant,"2x65mm, 4x 45mm Hose, Dividing Breeching, Standpipe And Key",Smoking,Passer By Dropping Light,0:30,North,Milnerton,Rugby,Flats,10619,LSM 07,Rented,English,White,Age 25 - 29,Unmarried,Secondary,4266,112000,Stanberry Street,18.488636,-33.896932
Residential,Informal,"Fire, manually extinguished",4,May,2011,05/04/2011 12:00:00 AM,0:00,0:00 - 0:30,Philippi,Cape Town,00:16|00:19|00:12,"Bed, Bedding And Personal Effects Etc.",Minor Structural Fire,Extinguished: With One Fog Jet From E53a Motor Pump,1 X Hosereel,Undetermined,Unknown,0:10,East,"Guguletu, Mitchells Plain",Philippi SP2,BrHse_SepStand,6581,LSM 06,Occupied,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,6985,3422000,Centane,18.530878999999999,-34.004941000000002
Other,Rubbish/Grass/Bush,"False Alarm, Good Intent",28,July,2011,07/28/2011 12:00:00 AM,0:00,0:00 - 0:30,Elsies Rivier,Elnor,0:32,,False Alarm,,,N/a,False Alarm With Good Intent Due To A Brazier Fire Being Mistaken For Vegetation Alight.,,North,Epping,Elsies Rivier,BrHse_SepStand,11748,LSM 07,Rented,Afrikaans,Coloured,Age 20 - 24,Unmarried,Secondary,1472,0.27,Halt Road,18.579246999999999,-33.933928999999999
Transport,Car/Motorcycle,"Fire, manually extinguished",7,October,2011,10/07/2011 12:00:00 AM,0:00,0:00 - 0:30,Pelikan Park,South Peninsula,00:30|00:31|00:36,2 X Scrap Vw Beetles (no Registration),Vehicle Fire,Extinguished With 1 Fog Jet,1 X Hose Reel,Undetermined,Undetermined Pending Saps Investigation,0:15,West,Ottery,Pelikan Park,BrHse_SepStand,12609,LSM 08,Owned Not Paid Off,English,Coloured,Age 0 - 4,Unmarried,Secondary,12012,1508000,Sorrel Way,18.526198999999998,-34.048394999999999
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",23,November,2011,11/23/2011 12:00:00 AM,0:00,0:00 - 0:30,Avonwood,Elsies River,0:29,,Rubbish Fire,Extinguish Fire With One Fog Jet From E51 Motor Pump (600),1 X Hose Real,Undetermined,,0:05,North,Goodwood,Avonwood,Flats,5592,LSM 06,Rented,Afrikaans,Coloured,Age 20 - 24,Unmarried,Secondary,5373,0.44,Betty Street,18.581088000000001,-33.925739
Transport,Ship,"Fire, manually extinguished",2,December,2011,12/02/2011 12:00:00 AM,0:00,0:00 - 0:30,Docks,Cape Town,59:05|53:36|34:53|42:46|69:55|94:08|34:22|07:03|12:46|08:54|57:33|71:57|15:33|07:08|05:43|22:42|19:59|89:08|03:12|28:21|03:55|02:53|179:32|41:40|15:20|66:35|25:51|06:37|08:05|17:11|25:10|01:16|22:21|26:09|23:10|11:52|09:47|23:03|12:50|33:32|09:26|05:57|2,Cardboard Packaging And Netting,Major Structural Fire,"Extinguished Fire With 3 Jets X 96hrs, 4 Ground Monitors X 192hrs, 217 X25l Drums Of Foam, 1 X Turbex Foam Machine And525l Foam Through Caf System.","20 X 65mm Hose, 10 X 45mm Hose, 12500l Foam Concentrate, 3000l Foam From Chevron, 2500l Foam From Caltex, 525L Foam Through CAF System, Numerous Amounts Of S.C.B.A. From Various Pumps And 4 X Thermal Imaging Camera's",Welding And Cutting,Sparks From Workman's Welding Torch Igniting Cardboard Packaging,96:00|192:00,West,"Roeland Street, Atlantis, Belhar, Bellville, Brackenfell, Brooklyn, Constantia, Durbanville, Epping, Fish Hoek, Goodwood, Guguletu, Lakeside, Macassar, Melkbos, Milnerton, Ottery, Salt River, Sea Point, Wynberg",Foreshore,Flats,48130,LSM 14,Rented,NA,Black African,Age 20 - 24,Unmarried,NA,283,234000,Duncan Road,18.458348999999998,-33.916443999999998
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",29,March,2012,03/29/2012 12:00:00 AM,0:00,0:00 - 0:30,Kensington,Cape Town,0:40,Tree Stumps,Minor Vegetation Fire,Extinguished With One Fog Jet From E43 M/pump.,1 X Hosereel,Open Flames,Unknown,0:15,North,Epping,Kensington,BrHse_SepStand,14316,LSM 09,Owned Paid In Full,English,Coloured,Age 25 - 29,Unmarried,Secondary,13247,188000,Factreton Avenue.,18.505738999999998,-33.911023
Residential,Informal,"Fire, manually extinguished",28,April,2012,04/28/2012 12:00:00 AM,0:00,0:00 - 0:30,Mfuleni,Tygerberg,00:38|00:51|00:51|00:40|00:41,Wood And Iron Structure And Contents Eg Bed Bedding Clothes Gas Stoves And Tv,Minor Structural Fire,Extingusihed: One Fog Jet From E54a Motor Pump (30 Minutes),"1 X Hosereel, Standpipe, Short Length",Undetermined,Fire For Heating Left Unattended And Igniting Combustibles,0:29,East,"Belhar, Mfuleni, Lansdowne",Mfuleni SP,BrHse_SepStand,3007,LSM 04,Occupied,IsiXhosa,Black African,Age 0 - 4,Unmarried,Secondary,55174,1346000,Lerato Ponoane Street,18.678207,-33.999096999999999
Other,Miscellaneous,"False Alarm, Good Intent",28,June,2012,06/28/2012 12:00:00 AM,0:00,0:00 - 0:30,Gordons Bay,Helderberg,0:22,,,,,Other,False Alarm With Good Intent Due To A Plastic Waste Bin Burning Itself Out Before Arrival Of Brigade.,,East,Strand,Gordons Bay SP,BrHse_SepStand,21896,LSM 11,Rented,Afrikaans,White,Age 25 - 29,Married,Secondary,5274,302000,Dennehof,18.877126000000001,-34.156393999999999
Residential,Informal,"Fire, manually extinguished",21,August,2012,08/21/2012 12:00:00 AM,0:00,0:00 - 0:30,Lingelethu West,Khayelitsha,00:36|00:08|00:40|00:20|00:11,"Bed, Bedding, Personal Effecs, Etc",Minor Structural Fire,Extinghuised Fire With One Fog Jet From E18motor Pump (backed Up B08,1 X Fog Jet (E18),Open Flames,Candle Overturning Igniting The Bedding,0:20,East,"Khayelitsha, Ottery, Mitchells Plain, Lakeside",,,0,,,,,,,,0,0,Indaba Street,0,0
Residential,Formal,"Fire, manually extinguished",25,August,2012,08/25/2012 12:00:00 AM,0:00,0:00 - 0:30,Browns Farm,Cape Town,00:43|00:49|01:00|00:38,"Bed, Bedding And Persona Effects.",Minor Structural Fire,Extinguished With Two Jets From E53a Motor Pump,3 X 45mm Hoses,Cooking,Two Plate Electrical Stove Left On And Igniting Bedding.,0:30,East,"Guguletu, Mitchells Plain",Browns Farms,BrHse_SepStand,2914,LSM 03,Owned Paid In Full,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,74768,339000,Nqwebeba Street,18.576086,-34.007244999999998
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",27,November,2012,11/27/2012 12:00:00 AM,0:00,0:00 - 0:30,Kensington,Cape Town,0:56,Small Quantity Of Rubbish,Rubbish Fire,Extinguished: One Fogjet From B16 Bush Fire Appliance,One Hosereel,Open Flames,Passer-by Dropping Alight,0:10,North,Epping,Kensington,BrHse_SepStand,14316,LSM 09,Owned Paid In Full,English,Coloured,Age 25 - 29,Unmarried,Secondary,13247,188000,Salamander Plein,18.505738999999998,-33.911023
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",5,December,2012,12/05/2012 12:00:00 AM,0:00,0:00 - 0:30,Durbanville,Tygerberg,0:26,Tyres,Rubbish Fire,Extinghuished Fire Using 1 X Fogjet From E13 Motor Pump,1 X Hose Reel,Open Flames,Vagrant Setting Tyres Alight,0:05,North,Brackenfell,Durbanville SP,BrHse_SepStand,28568,LSM 13,Rented,Afrikaans,White,Age 25 - 29,Married,Secondary,8261,563000,Brackenfell Blvd.,18.651109999999999,-33.828333999999998
Residential,Formal,"Fire, manually extinguished",2,July,2013,07/02/2013 12:00:00 AM,0:00,0:00 - 0:30,Parow,Tygerberg,00:35|00:32|00:32,Wendy House At Back Of Property,Minor Structural Fire,Extinguished With One Jet From E51 (2250litres),2x 65mm And 1x 45mm Lengths Hose / Branch / Road Cones.,Heating,Heating,0:18,North,"Goodwood, Bellville, Epping",Parow SP,Flats,9715,LSM 07,Rented,Afrikaans,Black African,Age 25 - 29,Unmarried,Secondary,3609,0.52,Bedford Street,18.584302000000001,-33.907831999999999
Other,Miscellaneous,"Fire, manually extinguished",5,October,2013,10/05/2013 12:00:00 AM,0:00,0:00 - 0:30,Macassar,Helderberg,0:13,Small Quatity Of Rubbish,Rubbish Fire,Made Area Safe By Covering Rubbish With Sand.,Spades,Heating,Rubbish Set Alight For Heating,,East,Macassar,Macassar SP,BrHse_SepStand,6456,LSM 06,Owned Paid In Full,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,34151,2706000,Ring Avenue,18.760539999999999,-34.065551999999997
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",24,January,2014,01/24/2014 12:00:00 AM,0:00,0:00 - 0:30,Gugulethu,Cape Town,0:37,Rubbish,Rubbish Fire,Extinguished With One Fog Jet From E53a M/pump,1 X Hose-Reel,Open Flames,Passer-by Dropping A Light,0:20,East,Guguletu,Gugulethu SP,BrHse_SepStand,5263,LSM 05,Owned Paid In Full,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,58328,488000,Ny 4,18.572023000000002,-33.983476000000003
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",24,February,2014,02/24/2014 12:00:00 AM,0:00,0:00 - 0:30,Macassar,Helderberg,0:37,Grass,Minor Vegetation Fire,Extinguished With One Jet From E23a Motor Pump,3 X 45mm Lengths Of Hose,Open Flames,Passer-by Dropping A Light,0:10,East,Macassar,Macassar SP,BrHse_SepStand,6456,LSM 06,Owned Paid In Full,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,34151,2706000,Rembrandt Street,18.752175999999999,-34.063428999999999
Other,Miscellaneous,"Fire, manually extinguished",28,February,2014,02/28/2014 12:00:00 AM,0:00,0:00 - 0:30,Delft,Tygerberg,0:24,Tyres.,Rubbish Fire,Extinguished Fire With 1x Fogjet.,Fogjet.,Unrest,Community Protest.,0:04,East,Belhar,Delft SP,BrHse_SepStand,3109,LSM 04,Occupied,IsiXhosa,Black African,Age 0 - 4,Unmarried,Secondary,76404,435000,Delft Main Road,18.636831999999998,-33.974488000000001
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",15,April,2014,04/15/2014 12:00:00 AM,0:00,0:00 - 0:30,Kensington,Cape Town,0:44,Rubbish Etc.,Rubbish Fire,Extinguished: One Fog Jet From E32a Motor Pump,One Hose Reel,Open Flames,Passer-by Dropping A Light,0:20,North,Epping,Kensington,BrHse_SepStand,14316,LSM 09,Owned Paid In Full,English,Coloured,Age 25 - 29,Unmarried,Secondary,13247,188000,Acre Road,18.507180000000002,-33.904705999999997
Residential,Flat,"False Alarm, Good Intent",19,October,2014,10/19/2014 12:00:00 AM,0:00,0:00 - 0:30,Maitland,Blaauwberg,00:18|00:00|00:19|00:17,,False Alarm,Nil,Nil,,False Alarm With Good Intent,,North,"Brooklyn, Salt River, Roeland Street",Maitland,BrHse_SepStand,10534,LSM 07,Rented,English,Coloured,Age 25 - 29,Unmarried,Secondary,10324,395000,Carlisle Street,18.490524000000001,-33.920496999999997
Residential,Flat,"Fire, manually extinguished",4,December,2014,12/04/2014 12:00:00 AM,0:00,0:00 - 0:30,Samora Machel,Cape Town,02:13|01:20|01:22|01:22|00:11|01:27|01:00,2 X Units Of Dupplex Flats Uncluding Wooden Flooring And All Contents And Wood And Iron Structures At Rear Including Contents,Average Structural Fire,"Extinguised Fire Using 3 Jets From E 53a Motorpump Backed Up By W22a, W17, E26a And E 43","2 X 65 Mm Hose, 5 X 45 Mm Hose, 1 X Dividing Breeching, 3 X Tft Branches, 2 X Ba Sets (20 Min)",Undetermined,Undetermined,0:20,East,"Guguletu, Mitchells Plain, Belhar, Lansdowne",Gugulethu SP,BrHse_SepStand,5263,LSM 05,Owned Paid In Full,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,58328,488000,Stanza Bopape Walk,18.572023000000002,-33.982283000000002
Residential,Informal,"Fire, manually extinguished",11,July,2015,07/11/2015 12:00:00 AM,0:00,0:00 - 0:30,Wesbank,Tygerberg,00:46|00:46|00:47|00:48,"Bed, Bedding And Personal Effects, Etc",Minor Structural Fire,Used One Fog Jet From E47(2000l) To Extinguish The Fire And Make The Area Safe,1 X Hosereel,Open Flames,Suspected Incindiarsm And Malicious Damage To Property Pending S.A.P.S.Investigation,0:24,East,"Belhar, Mfuleni",Diepwater,BrHse_SepStand,3558,LSM 04,Owned Paid In Full,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,16399,111000,Theescombe Street,18.654371000000001,-33.977801999999997
Transport,Car/Motorcycle,"Fire, manually extinguished",25,September,2015,09/25/2015 12:00:00 AM,0:00,0:00 - 0:30,Kraaifontein,Oostenberg,0:23,Motorcycle,Vehicle Fire,Extinguished With 1 Fog Jet From E05 Motor Pump,1 X Hose Reel,Arson,Unknown Persons Set Motorcycle Alight,0:05,North,Brackenfell,Eikendal,BrHse_SepStand,12625,LSM 08,Owned Paid In Full,Afrikaans,Coloured,Age 25 - 29,Unmarried,Secondary,5479,0.82,Gunnings Street,18.71941,-33.853541
Other,Rubbish/Grass/Bush,"False Alarm, Good Intent",19,October,2015,10/19/2015 12:00:00 AM,0:00,0:00 - 0:30,Silvertown,Cape Town,0:33,,False Alarm,,,N/a,False Alarm With Good Intent Due To Fire Burning Itself Out Prior Arrival And Brigade Unable To Locate Site.,,North,Epping,Silvertown,Semi-detached,7501,LSM 06,Owned Paid In Full,English,Coloured,Age 20 - 24,Unmarried,Secondary,7021,0.98,Bongo Crescent,18.528974000000002,-33.965417000000002
Residential,Informal,"Fire, manually extinguished",28,November,2015,11/28/2015 12:00:00 AM,0:00,0:00 - 0:30,Broadlands Village,Strand,00:58|01:08|01:11|01:10,"Bed, Bedding, Personal Effects, Etc.",Average Structural Fire,Fire Was Extinguished With 1 X Jet From E27(3000) Backed Up By W24a(2000).,"2 X 65mm Firehoses, 4 X 45mm Firehoses, 1 X Protek Branch.",Undetermined,Unknown,0:14,East,"Strand, Macassar",Broadlands,BrHse_SepStand,4144,LSM 05,Owned Paid In Full,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,6851,220000,C/o Onverwacht Street And 21st Avenue,18.876373999999998,-34.127218999999997
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",15,January,2009,01/15/2009 12:00:00 AM,0:01,0:00 - 0:30,Dunoon,Blaauwberg,00:20|00:38|00:02|00:36,"Bush, Grasss",Rubbish Fire,Extinguish Fire,"Spades, Fog Jet From W07",Undetermined,Passer-by Dropping Alight,0:05,North,Milnerton,Dunoon,BrHse_SepStand,2726,LSM 03,Rented,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,30891,0.99,N 7 (between Potsdam Rd & Plattekloof Rd),18.540458000000001,-33.819274
Other,Miscellaneous,Special Service,22,January,2009,01/22/2009 12:00:00 AM,0:01,0:00 - 0:30,Plumstead,South Peninsula,1:01,,Special Service,Brigade Made Area Safe,Cordon Off Tape,Electrical Faults,Faulty Electrical Wires,,West,Wynberg,Plumstead,BrHse_SepStand,25600,LSM 12,Owned Not Paid Off,English,White,Age 25 - 29,Unmarried,Secondary,21297,458000,Southfield Road,18.484203999999998,-34.017136999999998
Other,Rubbish/Grass/Bush,"False Alarm, Good Intent",24,January,2009,01/24/2009 12:00:00 AM,0:01,0:00 - 0:30,Pelikan Park,South Peninsula,0:24,,False Alarm,Nil,Nil,,,,West,Ottery,Pelikan Park,BrHse_SepStand,12609,LSM 08,Owned Not Paid Off,English,Coloured,Age 0 - 4,Unmarried,Secondary,12012,1508000,Beck Road,18.526454000000001,-34.068237000000003
Transport,Ship,"Fire, manually extinguished",23,June,2009,06/23/2009 12:00:00 AM,0:01,0:00 - 0:30,Hout Bay,South Peninsula,01:09|01:10|01:07|00:00|00:30,Insulation Of Electrical Wiring In Crews Cabin,Vehicle Fire,Extinguished By Brigade Using One Fog Jet From E12 Motor Pump.,One X Hosereel,Electrical Faults,"Battery Terminals Overheated, Arcing And Igniting Insulation Of Electrical Wiring",0:10,,,Hout Bay SP,BrHse_SepStand,34318,LSM 14,Rented,English,White,Age 0 - 4,Unmarried,Secondary,13477,2224000,Harbour Road,18.351351000000001,-34.033861999999999
Transport,Other,"Fire, manually extinguished",23,August,2009,08/23/2009 12:00:00 AM,0:01,0:00 - 0:30,Philippi,Cape Town,00:34|00:38|00:34,"Bed, Bedding And Personal Effects Etc.",Minor Structural Fire,Extinguished: 1 Fog Jet From Echo 10 Motor Pump.,One Hose Reel,Undetermined,Unknown Pending S.A.P.S Investigation.,0:10,West,"Guguletu, Ottery",Philippi SP2,BrHse_SepStand,6581,LSM 06,Occupied,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,6985,3422000,Lower Ottery Road,18.530878999999999,-34.004941000000002
Residential,Informal,"Fire, manually extinguished",4,October,2009,10/04/2009 12:00:00 AM,0:01,0:00 - 0:30,Hout Bay,South Peninsula,,4 Wood And Iron Structures And One Dwelling,Minor Structural Fire,Extinguished With 2 Fogjets From E12,2 Fog Jets From E12 Motor Pump,Undetermined,Unknown,,West,"Hout Bay, Constantia, Fish Hoek, Sea Point, Ottery",Hout Bay SP,BrHse_SepStand,34318,LSM 14,Rented,English,White,Age 0 - 4,Unmarried,Secondary,13477,2224000,Hout Bay Road (m63),18.351351000000001,-34.033861999999999
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",3,November,2009,11/03/2009 12:00:00 AM,0:01,0:00 - 0:30,Manenberg,Cape Town,0:39,Small Quantity Of Vegetation And Rubbish,Minor Vegetation Fire,Extinguished With One Fog Jet From Eii M/pump,1x Hose Reel,Open Flames,Passer By Dropping Light,0:05,East,Guguletu,Manenberg,BrHse_SepStand,4164,LSM 05,Rented,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,55809,335000,Elsieskraal Road,18.554696,-33.986193
