ISSID,Municipality_metro,Metro,Rural,TownCity_Name,Suburbareaplacename,Police_Station,Coordinates,First_Street,Cross_Street,Start_Date,End_Date,Ongoing,Type_ID,Type,Violent_or_non_violent,Violent_or_non_violent_code,Rangecode,Reasonforprotest,ward,Toilets.None,Toilets.Bucket toilet,Toilets.Other,Toilets.Unspecified,Toilets.Chemical toilet,Toilets.Flush toilet (connected to sewerage system),Toilets.Pit toilet without ventilation,Toilets.Pit toilet with ventilation (VIP),Toilets.Total,Toilets.Not applicable,Toilets.Flush toilet (with septic tank),Electricity.No electricity for heating:,Electricity.No electricity for lighting,Electricity.No electricity for cooking:,Electricity.Electricity for heating:,Electricity.Electricity for cooking:,Electricity.Total,Electricity.Electricity for lighting,Water.Regional/local water scheme (operated by municipality or other water services provider),Water.Spring,Water.Dam/pool/stagnant water,Water.Water tanker,Water.Other,Water.Borehole,Water.River/stream,Water.Total,Water.Not applicable,Water.Rain water tank,Water.Water vendor,Location 1
30,KwaZulu Natal - eThekwini,1,0,Durban,International Convention Centre,KZN - Durban Central,"-29.852515,31.029795",Bram Fischer Rd,Stalwart Simelane Street,17-Jan-13,17-Jan-13,0,9,Service delivery,Violent,1,1,Business‚ labour and civil society organisations have been opposing a bid by Eskom to raise electricity tariffs by 16% a year over the next five years since the public hearings on its application began.,59500028,405,9,17,182,249,20692,6,21,23171,0,1590,881,97,439,7860,8302,8741,8644,22291,8,149,78,487,24,20,23170,0,43,70,"6
(-29.852515, 31.029795)"
19,Gauteng - City of Johannesburg,1,0,Roodepoort,Vlaakfontein,GP - Roodepoort,"-26.168937,27.830882",Main Reef Road,Corlett Street,18-Jan-13,18-Jan-13,0,9,Service delivery,Violent,1,5,Basic service delivery,79800127,613,748,118,72,5421,15416,864,3831,27605,0,522,7343,6738,6802,4136,4677,11479,4741,25614,590,10,531,615,159,14,27606,0,32,41,"3
(-26.168937, 27.830881)"
31,Limpopo - Lephalale,0,1,Polokwane,Lephalale - Medupi,LP - Lephalale,"-23.677936,27.7349",Herman street,Park ave,19-Jan-13,19-Jan-13,1,4,Labour related,Violent,1,5,Workers aligned with NUMSA downed tools to demand that Eskom replace the existing project labour agreement for the one that existed when construction started. They are also allegedly not being paid double on weekends and say that bonuses are not being paid out fairly or equally.,93602005,147,120,19,91,686,5900,429,135,7858,16,315,958,611,920,1952,1990,2910,2299,5535,48,71,851,127,639,503,7860,16,46,24,"8
(-23.677936, 27.7349)"
11,Free State - Metsimaholo,0,-1,Sasolburg,Sasolburg,FS - Sasolburg,"-26.813524,27.841596",Nelspruit street,Main street,20-Jan-13,22-Jan-13,0,9,Service delivery,Violent,1,3,"Residents protests against merger / amalgamation of Metsimaholo and Ngwathe local municipalities. Communities felt that they have not been consulted. Proposed redetermination of the municipal boundaries of Ngwathe Local Municipality and
Metsimaholo Local Municipality, by amalgamating both Metsimaholo Local Municipality and
Ngwathe Local Municipality excluding Edenville from Ngwathe Local Municipality and include
Edenville town, into Moqhaka Local Municipality.
The proposed redetermination affects the following municipalities: Ngwathe Local Municipality, Metsimaholo Local Municipality, Moqhaka Local Municipality and Fezile Dabi District Municipality.",42004007,5,0,0,36,0,3922,14,3,4013,5,28,243,12,43,835,1035,1078,1066,3898,0,0,2,57,28,5,4013,5,11,7,"2
(-26.813524, 27.841595)"
12,Free State - Metsimaholo,0,-1,Sasolburg,Zamdela,FS - Zamdela,"-26.865884,27.869297",Do not know,Do not know,20-Jan-13,22-Jan-13,0,9,Service delivery,Violent,1,3,"Residents protests against merger / amalgamation of Metsimaholo and Ngwathe local municipalities. Communities felt that they have not been consulted. Proposed redetermination of the municipal boundaries of Ngwathe Local Municipality and
Metsimaholo Local Municipality, by amalgamating both Metsimaholo Local Municipality and
Ngwathe Local Municipality excluding Edenville from Ngwathe Local Municipality and include
Edenville town, into Moqhaka Local Municipality.
The proposed redetermination affects the following municipalities: Ngwathe Local Municipality, Metsimaholo Local Municipality, Moqhaka Local Municipality and Fezile Dabi District Municipality.",42004013,23,66,809,3,31,6181,5332,44,12513,0,24,1083,526,572,2956,3467,4039,3513,12183,1,0,190,29,49,5,12513,0,19,37,"2
(-26.865884, 27.869297)"
3,Eastern Cape - Ngquza Hill,0,0,Flagstaff,Sphaqeni village,EC - Flagstaff,"-31.079666,29.504489",Do not know,Do not know,21-Jan-13,23-Jan-13,0,9,Service delivery,Violent,1,5,Residents are protesting against the removal of containers used for street vending and poor service delivery at Sphaqeni village. Residents also called for Ingquza Hill Local municipality mayor to step down.,21503006,1471,88,1259,37,676,599,5667,558,10459,8,96,1973,604,1136,763,1600,2736,2132,5634,7,359,846,376,735,1923,10458,8,490,80,"1
(-31.079666, 29.504489)"
5,Eastern Cape - Nelson Mandela Bay,1,1,Port Elizabeth,Chris Hani Informal setlement,EC - New Brighton,"-33.900012,25.589001",Ntshekisa road,Ntshekisa road,21-Jan-13,22-Jan-13,0,9,Service delivery,Violent,1,3,"Basic service, residents demand proper housing, as a result of a fire that destroy their shack.",29300014,34,26,10,23,6,12874,3,0,13034,0,58,2685,54,115,934,3504,3619,3565,12844,0,18,32,72,52,0,13036,0,7,11,"1
(-33.900011, 25.589001)"
10,Free State - Matjhabeng,0,1,Hennenman,Phomolong township,FS - Henneman,"-28.012174,27.081985",Motatamali St,Mohohlo St,21-Jan-13,21-Jan-13,0,9,Service delivery,Violent,1,3,"Residents marched to the local stadium to demand the eradication of bucket toilet systems, the allocation of sites and a 24 hour clinic.",41804002,42,4829,63,26,6,7393,19,82,12591,0,131,520,195,232,2898,3186,3418,3223,12484,0,0,19,53,14,0,12591,0,2,19,"2
(-28.012174, 27.081985)"
2,Eastern Cape - Mnquma,0,1,Butterworth,Butterworths and Centane,EC - Butterworth,"-32.332344,28.144698",R-47,Kentane road,23-Jan-13,23-Jan-13,0,9,Service delivery,Violent,1,5,"Residents of both towns Butterworths and Centane blockaded the R-47 between the two towns, accusing the Mnquma Municipality of ignoring their request for repairs to the road.",21202001,169,12,2024,18,6,3609,150,22,6163,27,126,960,782,816,1470,1614,2430,1648,5946,3,17,20,64,0,69,6163,27,2,15,"1
(-32.332343, 28.144698)"
17,Gauteng - City of Tshwane,1,0,Pretoria,Centurion - Denel,GP - Lyttelton,"-25.892122,28.191519",Nellmapius Dr,Nellpmapius Dr,23-Jan-13,25-Jan-13,0,4,Labour related,Peaceful,0,5,Wage dispute. Numsa members at state owned arms manufacturer Denel have embarked on a protected strike over a long outstanding industrial dispute against Denel in relation to wage disparities. Numsa's view is that Denel has failed to adhere to the Collective Bargaining Agreement (CBA) signed between the union and its senior management.,79900065,37,21,38,213,19,20288,34,23,21399,9,717,1549,71,1049,6160,6660,7709,7638,20286,5,10,28,319,594,13,21397,9,34,99,"3
(-25.892122, 28.191519)"
39,North West - Madibeng,0,0,Kgabalatsane,Kgabalatsane,NW - Hebron,"-25.539886,28.017325",Lucas Mangope Dr,M21,23-Jan-13,23-Jan-13,0,9,Service delivery,Violent,1,5,"Protesters went on the rampage, barricading the road between Kgabalatsane and Hebron with burning tyres and rocks on Wednesday.
They were complaining about the lack of electricity.",63702015,127,15,15,21,28,1130,4228,1775,8880,0,1541,376,137,194,2336,2518,2712,2575,8287,6,3,72,340,59,0,8882,0,29,86,"5
(-25.539885, 28.017325)"
90,Western Cape - Cape Winelands,0,0,Cape Town,Crossroads,WC - Lansdowne,"-34.040298,18.677772",Nciphisa st,Phakamani st,23-Jan-13,24-Jan-13,0,9,Service delivery,Violent,1,5,"Crossroads residents burnt tyres in protest over Phase 2 of the Boystown housing project, accusing the ward councilor and steering committee of fraud, residents accused the ward councilor and steering committee of fraudulently selling houses to people who are not from the area.",19100097,385,11,38,123,59,27142,0,25,28529,0,746,5405,95,432,2251,7224,7656,7561,27633,35,17,70,241,42,453,28530,0,5,34,"9
(-34.040298, 18.677772)"
28,KwaZulu Natal - eThekwini,1,0,Durban,Kwamnyandu and Umlazi,KZN - Umlazi,"-29.972122,30.904116",Mangosuthu Highway,Mangosuthu Highway,24-Jan-13,31-Jan-13,0,4,Labour related,Violent,1,3,Strike by National Transport Movement forcefully fighting for recognition by Passenger Rail Agency of SA (Prasa) outside the prescribed legal processes,59500087,692,224,332,160,4991,14308,3529,1549,26620,0,835,1761,499,586,4930,6105,6691,6192,22903,75,656,480,1756,218,21,26618,0,206,303,"6
(-29.972121, 30.904115)"
85,Northern Cape - Sol Plaatjie,0,0,Kimberley,Kimberley,NC - Kimberley,"-28.726421,24.75189",Do not know,Do not know,25-Jan-13,25-Jan-13,0,4,Labour related,Violent,1,5,"SAMWU leveled allegations of racism and a lack of transformation. Samwu members held municipal manager Goolam Akharwaray hostage in his office when they demanded the absorption of contract workers into full-time positions, a wage curve and the immediate dismissal of Matlhoko.",30901020,73,56,4,25,2,7548,0,0,7742,11,23,547,80,172,1697,2072,2244,2164,7490,7,1,0,154,58,7,7744,11,0,16,"4
(-28.72642, 24.75189)"
89,Western Cape - City of Cape Town,1,0,Cape Town,Khayelitsha site C,WC - Khayelitsha,"-34.040298,18.677772",Maphongwane Ave,Solomon Tshuku Ave,25-Jan-13,26-Jan-13,0,9,Service delivery,Peaceful,0,5,"Residents protested against the Chairperson and Chancellor of Khayelitsha site C, regarding Isiphusethu People’s Housing Process (PHP), claiming the chairperson driving the initiative was illegally selling plot numbers to non-beneficiaries.",19100097,385,11,38,123,59,27142,0,25,28529,0,746,5405,95,432,2251,7224,7656,7561,27633,35,17,70,241,42,453,28530,0,5,34,"9
(-34.040298, 18.677772)"
13,Gauteng - City of Johannesburg,1,0,Johannesburg,Parkstation,GP - Johannesburg Central,"-26.197354,28.040803",Rissik Street,Loveday Street,26-Jan-13,26-Jan-13,0,6,Transport related,Peaceful,0,5,"Protest by National Transport Movement, to get recognition as a union by the Metrorail",79800060,285,27,106,282,1,42772,23,37,45373,1312,528,527,167,661,12635,12501,13162,12995,42597,0,13,46,882,266,99,45373,1312,33,125,"3
(-26.197354, 28.040803)"
1,Eastern Cape - Amathole,0,1,East London,East London,EC - East London,"-33.004543,27.900027",Oxford street,Oxford steet,28-Jan-13,18-Feb-13,1,4,Labour related,Peaceful,0,4,More than 700 health workers from at least 20 clinics and health centres in the Amathole district protested in front of the health department’s Amathole District offices in Oxford Street demanding money owed to them.,29200003,4,4,27,89,4,17686,0,24,17953,84,31,1445,63,250,5084,6279,6529,6466,17423,0,14,83,302,13,2,17952,84,2,29,"1
(-33.004542, 27.900027)"
41,Eastern Cape - Gariep,0,1,Gariep-Reinet,Asherville secondary school,EC - Graaff-Reinet,"-32.252105,24.540618",Paul Kruger Street,Paul Kruger Street,28-Jan-13,29-Jan-13,1,2,Education related,Peaceful,0,5,Shortage of teachers and lack of facilities.,21001004,188,29,13,19,0,9442,33,12,10280,336,208,512,74,130,1664,2046,2176,2102,9851,0,4,12,45,10,0,10280,336,8,14,"1
(-32.252105, 24.540617)"
37,North West - Ventersdorp,0,0,Ventersdorp,Boikhutsong,NW - Ventersdorp,"-26.316433,26.813823",Not applicable,Not applicable,29-Jan-13,29-Jan-13,0,9,Service delivery,Peaceful,0,5,"Basic services: water, electricity and housing to the community.",64001006,410,41,98,26,406,7692,1033,924,10852,24,198,1290,753,972,1919,2237,3209,2456,9114,21,100,74,266,1130,13,10850,24,4,104,"5
(-26.316433, 26.813822)"
6,Eastern Cape - Nelson Mandela Bay,1,0,Port Elizabeth,Kwanobuhle,EC - Kwanobuhle,"-33.80036,25.397295",Phato street,Phato street,30-Jan-13,30-Jan-13,0,8,Xenophobia,Violent,1,5,"Criminal mob, Looting several foreign-owned businesses",29300046,1492,235,209,117,9,16200,94,11,18403,2,34,3386,102,549,1437,4274,4823,4721,16795,19,534,131,409,158,2,18403,2,54,299,"1
(-33.800359, 25.397295)"
18,Gauteng - Ekurhuleni,1,0,Midrand,Gallagher estate,GP - Midrand,"-26.001749,28.130477",Richards Dr,Johnnic Blvd,30-Jan-13,30-Jan-13,0,9,Service delivery,Peaceful,0,3,"Cosatu protest in opposition to Eskom’s proposed electricity tariff increase, at the Nersa public hearing.",79800110,63,130,87,166,291,53274,49,190,56946,6,2690,5943,738,1052,14615,19506,20558,19820,55740,18,6,87,519,421,13,56948,6,26,112,"3
(-26.001749, 28.130476)"
59,Gauteng - City of Johannesburg,1,0,Johannesburg,"Klipspruit, Soweto",GP - Moroka,"-26.256469,27.910261",Don't know,Don't know,30-Jan-13,30-Jan-13,0,9,Service delivery,Peaceful,0,5,Residents of Klipspruit in Soweto protested over the installation of water meters in their area,79800025,62,1188,13,165,8,33324,83,8,35598,0,747,634,535,529,9586,9691,10220,9685,35094,0,8,32,291,96,8,35599,0,41,29,"3
(-26.256468, 27.91026)"
60,Gauteng - City of Johannesburg,1,0,Johannesburg,"Musi High School, Pimville, Soweto",GP - Moroka,"-26.2682,27.907252",Modjaji St,Modjaji St,31-Jan-13,31-Jan-13,0,9,Service delivery,Peaceful,0,5,Pensioners in Pimville in a protest against the installation of both water and electricity prepaid meters.,79800022,72,61,27,164,85,30524,18,30,31694,0,713,209,162,184,7298,7323,7507,7345,30400,17,57,29,823,263,0,31693,0,25,79,"3
(-26.2682, 27.907252)"
57,Gauteng - City of Johannesburg,1,1,Johannesburg,"Soweto, Holomisa Camp informal settlement",,"-26.253801,27.905904",Tsolo Road,Tsolo Road,1-Feb-13,8-Feb-13,0,9,Service delivery,Violent,1,5,The protesters had blocked off Tsolo Road near Nancefield railway station over the road being built ahead of RDP houses they say they were promised. The residents complained that other developments took place ahead of their RDP houses and this had angered them.,79800025,62,1188,13,165,8,33324,83,8,35598,0,747,634,535,529,9586,9691,10220,9685,35094,0,8,32,291,96,8,35599,0,41,29,"3
(-26.2538, 27.905904)"
71,KwaZulu Natal - eThekwini,1,0,Durban,Durban,KZN - Durban Central,"-29.858096,31.019062",Monty Naicker street,Dr AB Xuma St,2-Feb-13,2-Feb-13,0,4,Labour related,Peaceful,0,5,"The South African Grooms Association, an association of South African horsemen working with racehorses is not recognised by the Horseracing Authority. The demands are: Recognition Agreement; R17million stolen by Phumelela the company that is managing the J&B Met of 2 February. They stole R17m grant funding that was given to the Grooms for houses. The money was in the Horseracing Development Fund; Cancel the trainer, Ian Jayes’s eviction by Phumelela; Better working conditions for grooms.",59500028,405,9,17,182,249,20692,6,21,23171,0,1590,881,97,439,7860,8302,8741,8644,22291,8,149,78,487,24,20,23170,0,43,70,"6
(-29.858096, 31.019062)"
70,KwaZulu Natal - eThekwini,1,0,Durban,Durban University of Technology (DUT),KZN - Durban Central,"-29.849557,31.010173",Do not know,Do not know,5-Feb-13,5-Feb-13,0,9,Service delivery,Peaceful,0,3,"Student protests about accommodation shortages and other issues,",59500031,240,89,37,240,32,31524,76,41,33111,89,743,1025,222,828,10408,10605,11433,11211,31529,13,18,62,1180,97,8,33111,89,41,74,"6
(-29.849557, 31.010173)"
94,Western Cape - City of Cape Town,1,0,Cape Town,Cape Town International Convention Center,WC - Cape Town Internat Airport,"-33.915283,18.425617",Coen Steytler Ave,Buitengracht street,5-Feb-13,5-Feb-13,0,4,Labour related,Peaceful,0,5,"DEMONSTRATORS referring to themselves as the ""Alternative Mining Indaba” gathered outside the Mining Indaba in Cape Town‚ saying that the government and the mining sector were placing profits ahead of people‚ the environment and sustainability",19100077,25,7,42,130,2,27593,0,36,28251,231,185,1578,71,1335,9576,9819,11154,11083,27605,1,11,39,228,47,2,28251,231,9,78,"9
(-33.915283, 18.425616)"
14,Gauteng - City of Johannesburg,1,0,Johannesburg,Bramfischerville in Soweto,GP - Dobsonville,"-26.1985,27.860687",Unity road,Unity road,6-Feb-13,6-Feb-13,0,9,Service delivery,Violent,1,5,"The residents want, among other things, new roads and upgrades to schools, wanted street lights, tarred roads and sports facilities for their children, They also complained about blocked drains and long grass in open areas that was posing a danger to them.",79800044,127,7,461,167,17,53512,24,57,54533,0,161,1804,284,331,16144,17617,17948,17664,53396,4,61,465,382,69,1,54534,0,46,110,"3
(-26.198499, 27.860686)"
38,North West - Maquassi Hills,0,1,Wolmaransstad,Wolmaransstad extension 15,NW - Wolmaransstad,"-27.208743,25.970379",N12,N12,6-Feb-13,6-Feb-13,0,9,Service delivery,Peaceful,0,5,"Residents of Wolmaransstad extension 15 complained about, among other things, a lack of sanitation and water, building of a road between Schweizer-Reneke and Wolmaransstad.",64004005,1276,22,167,32,60,4174,190,31,6172,0,220,567,341,430,1062,1199,1629,1288,3328,3,0,235,112,2482,0,6173,0,0,13,"5
(-27.208742, 25.970379)"
58,Gauteng - City of Johannesburg,1,0,Johannesburg,"Johannesburg CBD, Gauteng’s provincial Department of Health",GP - Johannesburg Central,"-26.204811,28.037964",Sauer Street,Sauer Street,7-Feb-13,7-Feb-13,0,4,Labour related,Peaceful,0,5,"The nurses, who qualified as nurses in May 2012, are still paid as nursing students and are demanding rightful payment. They are at the department to demand rightful translation as nurses as far as payment is concerned",79800124,523,179,229,262,5,41154,15,64,43066,13,622,1548,762,1495,14289,14342,15837,15075,40982,36,13,286,1538,55,17,43068,13,22,106,"3
(-26.20481, 28.037963)"
56,Gauteng - City of Tshwane,1,0,Pretoria,Pretoria CBD,GP - Pretoria Central,"-25.744434,28.192059",Madiba Street,Madiba Street,8-Feb-13,8-Feb-13,0,4,Labour related,Violent,1,5,"Tshwane mayor’s failure to accept a memorandum of grievances on Friday upset marching municipal workers (SAMWU) who then went on the rampage and trashed city streets, At the centre of the grievances are corruption allegations within various divisions in the city, the loss of jobs when labour brokers’ contracts are terminated, and restructuring processes following the merger with the former Metsweding municipality. Samwu also claimed that the provisional report released by the Special Investigating Unit last year into corruption in the city was being selectively used by the municipality to purge Samwu workers and leaders while “political cronies” were being protected.",79900058,184,39,75,201,5,31899,650,28,33662,345,236,1322,123,564,8786,9544,10108,9985,32636,11,8,78,372,111,8,33662,345,21,72,"3
(-25.744433, 28.192059)"
98,Western Cape - City of Cape Town,1,0,Crossroads,Qingqa Mntwana Primary School,WC - Khayelitsha,"-33.990876,18.592039",New Eisleben Rd,Sithandathu Ave,8-Feb-13,8-Feb-13,0,2,Education related,Violent,1,5,"Two pupils and a protester were injured when demonstrators prevented the principal from entering the grounds of a Crossroads primary school, number of teachers and parents were opposed to principal Nosthembele Mahlathi’s return, while others welcomed her back. Some pupils were alleged to have thrown stones.",19100036,231,6443,121,56,83,26251,115,29,34164,0,835,7518,1543,1951,2252,7819,9770,8227,33469,17,0,29,481,71,4,34167,0,39,57,"9
(-33.990876, 18.592039)"
106,Western Cape - City of Cape Town,1,0,Cape Town,Khayelitsha; Mandela Park Back-Yarders,WC - Khayelitsha,"-34.04946,18.685885",26 Rev Marawu Crescent,26 Rev Marawu Crescent,9-Feb-13,9-Feb-13,-1,9,Service delivery,Peaceful,0,5,"The Mandela backyarders, who are demanding answers as to why their housing application ended up on a dump site last year, might need to re-apply for state-subsidised housing, says chief director of National Human Settlement, Phillip Chauke.",19100094,110,81,51,58,28,24060,1,27,24967,2,549,4765,42,382,1640,6023,6405,6363,24193,3,0,43,643,23,8,24967,2,17,35,"9
(-34.04946, 18.685884)"
7,Eastern Cape - Nkonkobe,0,1,Alice,Fort Hare University,EC - Alice,"-32.785885,26.848397",Hogsburg rd,Hogsburg rd,11-Feb-13,13-Feb-13,0,9,Service delivery,Violent,1,5,"Students protested raising among others issues, grievances included:  A hike of residence fees of up to 90% and  Problems relating to security at residences.",21207015,166,0,140,7,21,5156,1596,342,7485,0,57,1260,236,326,487,1421,1747,1511,7190,0,7,13,159,60,9,7484,0,34,12,"1
(-32.785885, 26.848396)"
15,Gauteng - City of Tshwane,1,0,Pretoria,Pretoria CBD,GP - Pretoria Central,"-25.741843,28.188949",222 Struben street,Thabo Sehume and Paul Kruger street,12-Feb-13,12-Feb-13,0,4,Labour related,Peaceful,0,4,Few members of SADTU embarked on a picket making a call in defense of collective bargaining in the education sector and to promote labour peace. SADTU make the following claims; Call for the dismissal of the DG Bobby Soobrayan for his lack of leadership. Other issues highlighted by the picket included the following: Corruption in the education sector; Payment for the markers; Improvement of school infrastructure; Equalization of pay progression for educators; Payment of rural allowances to all qualifying educators; Permanent appointment of temporary educators in vacant substantive posts; Equalization of pay progression of educators.,79900058,184,39,75,201,5,31899,650,28,33662,345,236,1322,123,564,8786,9544,10108,9985,32636,11,8,78,372,111,8,33662,345,21,72,"3
(-25.741842, 28.188949)"
44,Eastern Cape - Makana,0,1,Grahamstown,Mary Waters High School,EC - Grahamstown,"-33.292673,26.538921",Valley Rd,Valley Rd,12-Feb-13,15-Feb-13,0,2,Education related,Peaceful,0,5,Teaching has also been disrupted as the school is without the required nine teachers.,21004003,108,386,414,24,9,4590,911,13,6467,0,12,1003,421,642,699,1060,1702,1281,6103,3,0,25,249,21,13,6466,0,21,31,"1
(-33.292673, 26.53892)"
