GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1990,1990,,AFR,Africa,,ZAF,1990,1990,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.4 [5.1-5.8],5.40000,5.10000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1997,1997,,AFR,Africa,,ZAF,1997,1997,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.1-5.9],5.50000,5.10000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1999,1999,,AFR,Africa,,ZAF,1999,1999,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.1-5.9],5.50000,5.10000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2006,2006,,AFR,Africa,,ZAF,2006,2006,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.6 [5.1-6.2],5.60000,5.10000,6.20000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2008,2008,,AFR,Africa,,ZAF,2008,2008,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.7 [5.0-6.3],5.70000,5.00000,6.30000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1980,1980,,AFR,Africa,,ZAF,1980,1980,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,133.2 [127.5-139.1],133.20000,127.50000,139.10000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1987,1987,,AFR,Africa,,ZAF,1987,1987,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,132.0 [128.6-135.4],132.00000,128.60000,135.40000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1989,1989,,AFR,Africa,,ZAF,1989,1989,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,131.7 [128.6-134.9],131.70000,128.60000,134.90000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1994,1994,,AFR,Africa,,ZAF,1994,1994,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,130.6 [127.5-133.6],130.60000,127.50000,133.60000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1996,1996,,AFR,Africa,,ZAF,1996,1996,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,130.0 [126.9-133.1],130.00000,126.90000,133.10000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2003,2003,,AFR,Africa,,ZAF,2003,2003,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,130.2 [127.1-133.3],130.20000,127.10000,133.30000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2005,2005,,AFR,Africa,,ZAF,2005,2005,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,131.0 [127.7-134.1],131.00000,127.70000,134.10000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1985,1985,,AFR,Africa,,ZAF,1985,1985,South Africa,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,129.8 [126.0-133.6],129.80000,126.00000,133.60000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1987,1987,,AFR,Africa,,ZAF,1987,1987,South Africa,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,129.6 [126.2-133.1],129.60000,126.20000,133.10000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1992,1992,,AFR,Africa,,ZAF,1992,1992,South Africa,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,128.8 [125.6-131.9],128.80000,125.60000,131.90000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1994,1994,,AFR,Africa,,ZAF,1994,1994,South Africa,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,128.2 [125.1-131.3],128.20000,125.10000,131.30000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2001,2001,,AFR,Africa,,ZAF,2001,2001,South Africa,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,127.3 [124.0-130.5],127.30000,124.00000,130.50000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2003,2003,,AFR,Africa,,ZAF,2003,2003,South Africa,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,127.7 [124.3-130.9],127.70000,124.30000,130.90000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2008,2008,,AFR,Africa,,ZAF,2008,2008,South Africa,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,29.2 [28.4-29.9],29.20000,28.40000,29.90000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1979,1979,,AFR,Africa,,ZAF,1979,1979,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,37.1 [27.9-47.4],37.10000,27.90000,47.40000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1997,1997,,AFR,Africa,,ZAF,1997,1997,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,32.8 [26.7-39.5],32.80000,26.70000,39.50000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1990,1990,,AFR,Africa,,ZAF,1990,1990,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,34.9 [28.2-42.2],34.90000,28.20000,42.20000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1993,1993,,AFR,Africa,,ZAF,1993,1993,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,34.2 [27.6-41.2],34.20000,27.60000,41.20000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1980,1980,,AFR,Africa,,ZAF,1980,1980,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,36.9 [28.1-46.7],36.90000,28.10000,46.70000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2012,2012,,AFR,Africa,,ZAF,2012,2012,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,28.1 [21.8-35.0],28.10000,21.80000,35.00000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2014,2014,,AFR,Africa,,ZAF,2014,2014,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,27.6 [20.4-35.8],27.60000,20.40000,35.80000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1982,1982,,AFR,Africa,,ZAF,1982,1982,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,36.5 [28.6-45.3],36.50000,28.60000,45.30000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1994,1994,,AFR,Africa,,ZAF,1994,1994,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,33.9 [27.5-41.0],33.90000,27.50000,41.00000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2005,2005,,AFR,Africa,,ZAF,2005,2005,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,29.8 [24.7-35.3],29.80000,24.70000,35.30000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1998,1998,,AFR,Africa,,ZAF,1998,1998,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,32.4 [26.4-39.0],32.40000,26.40000,39.00000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2007,2007,,AFR,Africa,,ZAF,2007,2007,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,29.3 [24.2-34.7],29.30000,24.20000,34.70000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1994,1994,,AFR,Africa,,ZAF,1994,1994,South Africa,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,32.7 [26.6-39.0],32.70000,26.60000,39.00000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1975,1975,,AFR,Africa,,ZAF,1975,1975,South Africa,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,35.7 [24.2-48.0],35.70000,24.20000,48.00000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1983,1983,,AFR,Africa,,ZAF,1983,1983,South Africa,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,34.5 [27.1-42.1],34.50000,27.10000,42.10000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1988,1988,,AFR,Africa,,ZAF,1988,1988,South Africa,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,33.9 [27.3-40.6],33.90000,27.30000,40.60000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2001,2001,,AFR,Africa,,ZAF,2001,2001,South Africa,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,30.4 [25.3-36.0],30.40000,25.30000,36.00000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2012,2012,,AFR,Africa,,ZAF,2012,2012,South Africa,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,27.0 [21.3-33.0],27.00000,21.30000,33.00000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1982,1982,,AFR,Africa,,ZAF,1982,1982,South Africa,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,34.6 [27.0-42.5],34.60000,27.00000,42.50000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1977,1977,,AFR,Africa,,ZAF,1977,1977,South Africa,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,35.4 [25.4-46.0],35.40000,25.40000,46.00000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1999,1999,,AFR,Africa,,ZAF,1999,1999,South Africa,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,31.1 [25.6-37.1],31.10000,25.60000,37.10000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2014,2014,,AFR,Africa,,ZAF,2014,2014,South Africa,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,26.4 [19.8-33.5],26.40000,19.80000,33.50000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1984,1984,,AFR,Africa,,ZAF,1984,1984,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,29.6 [22.9-37.2],29.60000,22.90000,37.20000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1986,1986,,AFR,Africa,,ZAF,1986,1986,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,29.2 [22.9-36.5],29.20000,22.90000,36.50000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1982,1982,,AFR,Africa,,ZAF,1982,1982,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,30.0 [22.8-38.2],30.00000,22.80000,38.20000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1996,1996,,AFR,Africa,,ZAF,1996,1996,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,27.4 [21.7-33.8],27.40000,21.70000,33.80000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1979,1979,,AFR,Africa,,ZAF,1979,1979,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,30.6 [22.3-40.4],30.60000,22.30000,40.40000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2008,2008,,AFR,Africa,,ZAF,2008,2008,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,24.4 [19.8-29.6],24.40000,19.80000,29.60000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1997,1997,,AFR,Africa,,ZAF,1997,1997,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,27.2 [21.6-33.5],27.20000,21.60000,33.50000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2005,2005,,AFR,Africa,,ZAF,2005,2005,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,25.0 [20.4-30.1],25.00000,20.40000,30.10000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2002,2002,,AFR,Africa,,ZAF,2002,2002,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,25.7 [20.7-31.2],25.70000,20.70000,31.20000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2010,2010,,AFR,Africa,,ZAF,2010,2010,South Africa,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,24.1 [19.2-29.6],24.10000,19.20000,29.60000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1977,1977,,AFR,Africa,,ZAF,1977,1977,South Africa,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,29.3 [20.2-39.6],29.30000,20.20000,39.60000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1999,1999,,AFR,Africa,,ZAF,1999,1999,South Africa,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,26.4 [21.3-32.1],26.40000,21.30000,32.10000,,,
