GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2001,2001,,AFR,Africa,,WB_UMI,2001,2001,Upper-middle-income,,ZAF,South Africa,,148257,148257.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2003,2003,,AFR,Africa,,WB_UMI,2003,2003,Upper-middle-income,,ZAF,South Africa,,227320,227320.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004,2004,,AFR,Africa,,WB_UMI,2004,2004,Upper-middle-income,,ZAF,South Africa,,267290,267290.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005,2005,,AFR,Africa,,WB_UMI,2005,2005,Upper-middle-income,,ZAF,South Africa,,270178,270178.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2006,2006,,AFR,Africa,,WB_UMI,2006,2006,Upper-middle-income,,ZAF,South Africa,,303114,303114.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2007,2007,,AFR,Africa,,WB_UMI,2007,2007,Upper-middle-income,,ZAF,South Africa,,315315,315315.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008,2008,,AFR,Africa,,WB_UMI,2008,2008,Upper-middle-income,,ZAF,South Africa,,343855,343855.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2009,2009,,AFR,Africa,,WB_UMI,2009,2009,Upper-middle-income,,ZAF,South Africa,,360183,360183.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2011,2011,,AFR,Africa,,WB_UMI,2011,2011,Upper-middle-income,,ZAF,South Africa,,343715,343715.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1990,1990,,AFR,Africa,,WB_UMI,1990,1990,Upper-middle-income,,ZAF,South Africa,,80400,80400.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1993,1993,,AFR,Africa,,WB_UMI,1993,1993,Upper-middle-income,,ZAF,South Africa,,89786,89786.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1996,1996,,AFR,Africa,,WB_UMI,1996,1996,Upper-middle-income,,ZAF,South Africa,,109328,109328.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999,1999,,AFR,Africa,,WB_UMI,1999,1999,Upper-middle-income,,ZAF,South Africa,,148164,148164.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2002,2002,,AFR,Africa,,WB_UMI,2002,2002,Upper-middle-income,,ZAF,South Africa,,215120,215120.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2010,2010,,AFR,Africa,,WB_UMI,2010,2010,Upper-middle-income,,ZAF,South Africa,,354786,354786.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1995,1995,,AFR,Africa,,WB_UMI,1995,1995,Upper-middle-income,,ZAF,South Africa,,1159,1159.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1997,1997,,AFR,Africa,,WB_UMI,1997,1997,Upper-middle-income,,ZAF,South Africa,,24768,24768.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1998,1998,,AFR,Africa,,WB_UMI,1998,1998,Upper-middle-income,,ZAF,South Africa,,12935,12935.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2000,2000,,AFR,Africa,,WB_UMI,2000,2000,Upper-middle-income,,ZAF,South Africa,,7362,7362.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2001,2001,,AFR,Africa,,WB_UMI,2001,2001,Upper-middle-income,,ZAF,South Africa,,10223,10223.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2003,2003,,AFR,Africa,,WB_UMI,2003,2003,Upper-middle-income,,ZAF,South Africa,,16081,16081.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004,2004,,AFR,Africa,,WB_UMI,2004,2004,Upper-middle-income,,ZAF,South Africa,,23238,23238.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005,2005,,AFR,Africa,,WB_UMI,2005,2005,Upper-middle-income,,ZAF,South Africa,,23803,23803.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2006,2006,,AFR,Africa,,WB_UMI,2006,2006,Upper-middle-income,,ZAF,South Africa,,30344,30344.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2007,2007,,AFR,Africa,,WB_UMI,2007,2007,Upper-middle-income,,ZAF,South Africa,,34786,34786.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008,2008,,AFR,Africa,,WB_UMI,2008,2008,Upper-middle-income,,ZAF,South Africa,,48397,48397.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2009,2009,,AFR,Africa,,WB_UMI,2009,2009,Upper-middle-income,,ZAF,South Africa,,55083,55083.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2011,2011,,AFR,Africa,,WB_UMI,2011,2011,Upper-middle-income,,ZAF,South Africa,,70341,70341.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2012,2012,,AFR,Africa,,WB_UMI,2012,2012,Upper-middle-income,,ZAF,South Africa,,63210,63210.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1996,1996,,AFR,Africa,,WB_UMI,1996,1996,Upper-middle-income,,ZAF,South Africa,,15818,15818.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999,1999,,AFR,Africa,,WB_UMI,1999,1999,Upper-middle-income,,ZAF,South Africa,,6673,6673.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2002,2002,,AFR,Africa,,WB_UMI,2002,2002,Upper-middle-income,,ZAF,South Africa,,15144,15144.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2010,2010,,AFR,Africa,,WB_UMI,2010,2010,Upper-middle-income,,ZAF,South Africa,,64692,64692.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1995,1995,,AFR,Africa,,WB_UMI,1995,1995,Upper-middle-income,,ZAF,South Africa,,73240,73240.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1997,1997,,AFR,Africa,,WB_UMI,1997,1997,Upper-middle-income,,ZAF,South Africa,,15000,15000.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1998,1998,,AFR,Africa,,WB_UMI,1998,1998,Upper-middle-income,,ZAF,South Africa,,11200,11200.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2000,2000,,AFR,Africa,,WB_UMI,2000,2000,Upper-middle-income,,ZAF,South Africa,,9030,9030.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2001,2001,,AFR,Africa,,WB_UMI,2001,2001,Upper-middle-income,,ZAF,South Africa,,21594,21594.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2003,2003,,AFR,Africa,,WB_UMI,2003,2003,Upper-middle-income,,ZAF,South Africa,,40459,40459.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004,2004,,AFR,Africa,,WB_UMI,2004,2004,Upper-middle-income,,ZAF,South Africa,,50432,50432.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005,2005,,AFR,Africa,,WB_UMI,2005,2005,Upper-middle-income,,ZAF,South Africa,,52877,52877.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2006,2006,,AFR,Africa,,WB_UMI,2006,2006,Upper-middle-income,,ZAF,South Africa,,63004,63004.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2007,2007,,AFR,Africa,,WB_UMI,2007,2007,Upper-middle-income,,ZAF,South Africa,,70845,70845.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008,2008,,AFR,Africa,,WB_UMI,2008,2008,Upper-middle-income,,ZAF,South Africa,,84575,84575.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2009,2009,,AFR,Africa,,WB_UMI,2009,2009,Upper-middle-income,,ZAF,South Africa,,92104,92104.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2011,2011,,AFR,Africa,,WB_UMI,2011,2011,Upper-middle-income,,ZAF,South Africa,,77925,77925.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2012,2012,,AFR,Africa,,WB_UMI,2012,2012,Upper-middle-income,,ZAF,South Africa,,71421,71421.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1996,1996,,AFR,Africa,,WB_UMI,1996,1996,Upper-middle-income,,ZAF,South Africa,,15378,15378.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999,1999,,AFR,Africa,,WB_UMI,1999,1999,Upper-middle-income,,ZAF,South Africa,,11247,11247.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2002,2002,,AFR,Africa,,WB_UMI,2002,2002,Upper-middle-income,,ZAF,South Africa,,45802,45802.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2010,2010,,AFR,Africa,,WB_UMI,2010,2010,Upper-middle-income,,ZAF,South Africa,,87080,87080.00000,,,,,
TB_new_oth,New cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004,2004,,AFR,Africa,,WB_UMI,2004,2004,Upper-middle-income,,ZAF,South Africa,,0,0.00000,,,,,
TB_new_oth,New cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005,2005,,AFR,Africa,,WB_UMI,2005,2005,Upper-middle-income,,ZAF,South Africa,,0,0.00000,,,,,
TB_new_oth,New cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2006,2006,,AFR,Africa,,WB_UMI,2006,2006,Upper-middle-income,,ZAF,South Africa,,0,0.00000,,,,,
TB_new_oth,New cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2007,2007,,AFR,Africa,,WB_UMI,2007,2007,Upper-middle-income,,ZAF,South Africa,,0,0.00000,,,,,
TB_new_oth,New cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008,2008,,AFR,Africa,,WB_UMI,2008,2008,Upper-middle-income,,ZAF,South Africa,,0,0.00000,,,,,
TB_new_oth,New cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2009,2009,,AFR,Africa,,WB_UMI,2009,2009,Upper-middle-income,,ZAF,South Africa,,0,0.00000,,,,,
TB_new_oth,New cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2011,2011,,AFR,Africa,,WB_UMI,2011,2011,Upper-middle-income,,ZAF,South Africa,,0,0.00000,,,,,
TB_new_oth,New cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2012,2012,,AFR,Africa,,WB_UMI,2012,2012,Upper-middle-income,,ZAF,South Africa,,0,0.00000,,,,,
TB_new_oth,New cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2010,2010,,AFR,Africa,,WB_UMI,2010,2010,Upper-middle-income,,ZAF,South Africa,,0,0.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1997,1997,,AFR,Africa,,WB_UMI,1997,1997,Upper-middle-income,,ZAF,South Africa,,74,74.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1998,1998,,AFR,Africa,,WB_UMI,1998,1998,Upper-middle-income,,ZAF,South Africa,,238,238.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2001,2001,,AFR,Africa,,WB_UMI,2001,2001,Upper-middle-income,,ZAF,South Africa,,1356,1356.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2003,2003,,AFR,Africa,,WB_UMI,2003,2003,Upper-middle-income,,ZAF,South Africa,,1603,1603.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004,2004,,AFR,Africa,,WB_UMI,2004,2004,Upper-middle-income,,ZAF,South Africa,,2728,2728.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005,2005,,AFR,Africa,,WB_UMI,2005,2005,Upper-middle-income,,ZAF,South Africa,,2212,2212.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2006,2006,,AFR,Africa,,WB_UMI,2006,2006,Upper-middle-income,,ZAF,South Africa,,2639,2639.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2007,2007,,AFR,Africa,,WB_UMI,2007,2007,Upper-middle-income,,ZAF,South Africa,,3433,3433.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008,2008,,AFR,Africa,,WB_UMI,2008,2008,Upper-middle-income,,ZAF,South Africa,,3507,3507.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2009,2009,,AFR,Africa,,WB_UMI,2009,2009,Upper-middle-income,,ZAF,South Africa,,2895,2895.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2011,2011,,AFR,Africa,,WB_UMI,2011,2011,Upper-middle-income,,ZAF,South Africa,,2578,2578.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2012,2012,,AFR,Africa,,WB_UMI,2012,2012,Upper-middle-income,,ZAF,South Africa,,3123,3123.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999,1999,,AFR,Africa,,WB_UMI,1999,1999,Upper-middle-income,,ZAF,South Africa,,751,751.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2010,2010,,AFR,Africa,,WB_UMI,2010,2010,Upper-middle-income,,ZAF,South Africa,,2671,2671.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1997,1997,,AFR,Africa,,WB_UMI,1997,1997,Upper-middle-income,,ZAF,South Africa,,480,480.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1998,1998,,AFR,Africa,,WB_UMI,1998,1998,Upper-middle-income,,ZAF,South Africa,,894,894.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2000,2000,,AFR,Africa,,WB_UMI,2000,2000,Upper-middle-income,,ZAF,South Africa,,28101,28101.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2001,2001,,AFR,Africa,,WB_UMI,2001,2001,Upper-middle-income,,ZAF,South Africa,,39082,39082.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2003,2003,,AFR,Africa,,WB_UMI,2003,2003,Upper-middle-income,,ZAF,South Africa,,3317,3317.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004,2004,,AFR,Africa,,WB_UMI,2004,2004,Upper-middle-income,,ZAF,South Africa,,5892,5892.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005,2005,,AFR,Africa,,WB_UMI,2005,2005,Upper-middle-income,,ZAF,South Africa,,7030,7030.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2006,2006,,AFR,Africa,,WB_UMI,2006,2006,Upper-middle-income,,ZAF,South Africa,,6974,6974.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2007,2007,,AFR,Africa,,WB_UMI,2007,2007,Upper-middle-income,,ZAF,South Africa,,7061,7061.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008,2008,,AFR,Africa,,WB_UMI,2008,2008,Upper-middle-income,,ZAF,South Africa,,6156,6156.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2009,2009,,AFR,Africa,,WB_UMI,2009,2009,Upper-middle-income,,ZAF,South Africa,,5671,5671.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2011,2011,,AFR,Africa,,WB_UMI,2011,2011,Upper-middle-income,,ZAF,South Africa,,4642,4642.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2012,2012,,AFR,Africa,,WB_UMI,2012,2012,Upper-middle-income,,ZAF,South Africa,,7788,7788.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999,1999,,AFR,Africa,,WB_UMI,1999,1999,Upper-middle-income,,ZAF,South Africa,,2031,2031.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2010,2010,,AFR,Africa,,WB_UMI,2010,2010,Upper-middle-income,,ZAF,South Africa,,4921,4921.00000,,,,,
