,Name,Long,Lat,Category,Province,District,Subdistrict,Uses DATCOV19 surveillance online platform,Main Health care Services Offered,Size,Beds Usable,Beds Approved,Beds Surgical Usable,Beds Surgical Approved,Surgeons Qualified,Surgeons_unqualified,Theatres,Total number of beds,Total number of staff,Cluster,Webpage,Geo_subdivision,Is Vaccination site
24,Netcare Rosebank Hospital,28.03924,-26.1462,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,128.0,,55.0,,,,6.0,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Rosebank-Hospital,ZA-GP,
25,Netcare Sports Med and Ortho Hospital,28.03962,-26.1461,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,http://sportsortho.co.za/,ZA-GP,
26,NHN Akeso Crescent Randburg Hospital,27.958773,-26.0881,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.akeso.co.za/,ZA-GP,
27,Clinix Dr SK Matseke Mem Hospital,27.87435,-26.2055,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.clinix.co.za/dr-sk-matseke-memorial-hospital,ZA-GP,
28,Clinix Tshepo-Themba Private Hospital,27.873921,-26.2059,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,120.0,,28.0,,,,3.0,,,,https://www.clinix.co.za/tshepo-themba,ZA-GP,
29,Life Flora Hospital,27.920641,-26.1516,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,316.0,,112.0,,,,10.0,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/johannesburg/life-flora-hospital/,ZA-GP,
30,Lifemed Hospital,27.93667,-26.2011,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
31,Life Wilgeheuwel Hospital,27.92435,-26.0995,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,220.0,,93.0,,,,7.0,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/johannesburg/life-wilgeheuwel-hospital/,ZA-GP,
32,Mayo Hospital,27.92086,-26.1504,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,,Relevant Private Facility services – visit their website for more details,,20.0,,20.0,,,,2.0,,,,https://www.mayoclinic.org/,ZA-GP,
33,Netcare Constantia Day Clinic,27.900218,-26.1476,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,24.0,,24.0,,,,3.0,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Constantia-Clinic,ZA-GP,
34,Netcare Olivedale Hospital,27.972147,-26.0548,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,265.0,,166.0,,,,10.0,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Olivedale-Hospital,ZA-GP,
35,Netcare Protea Day Clinic,27.777968,-26.106659,Private Hospital,Gauteng,West Rand District Municipality,Mogale City Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,10.0,,10.0,,,,2.0,,,,https://www.netcare.co.za/Netcare-hospitals,ZA-GP,
36,Advanced Medgate Day Hospital,27.867123,-26.138,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg D Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,http://www.advancedhealth.co.za/medgate-day-clinic/,ZA-GP,
37,Lesedi Clinix Private Hospital,27.935847,-26.2581,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg D Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,175.0,,26.0,,,,4.0,,,,https://www.clinix.co.za/,ZA-GP,
38,Life Poortview Hospital,27.851671,-26.0897,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg D Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/roodepoort/life-poortview/,ZA-GP,
39,Life Pretoria North Surgical Centre,28.171361,-25.675421,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 1 Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,12.0,,12.0,,,,2.0,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/pretoria/life-pretoria-north-surgical-centre/,ZA-GP,
40,Life Carstenhof Hospital,28.139385,-26.0309,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg E Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,153.0,,56.0,,,,6.0,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/johannesburg/life-carstenhof-hospital/,ZA-GP,
41,Mediclinic Morningside Hospital,28.05595,-26.0956,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg E Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,230.0,,62.0,,,,8.0,,,,https://www.mediclinic.co.za/en/morningside/home.html,ZA-GP,
42,Midrand Med Centre,28.129635,-25.9958,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg E Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.midrandmedicalcentre.net/,ZA-GP,
43,Netcare Linksfield Park Hospital,28.0954,-26.1594,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg E Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,283.0,,107.0,,,,10.0,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Linksfield-Hospital,ZA-GP,
44,Prime Cure Bagleyston Day Clinic,28.0866,-26.1513,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg E Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
45,Cure Day clinic Midstream,28.190971,-25.922757,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,20.0,,20.0,,,,2.0,,,,https://cure.co.za/cure-midstream/,ZA-GP,
46,Argyle Hospital,28.0434,-26.1929,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
47,Life Sandton Surgical Centre,28.063306,-26.078861,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,20.0,,20.0,,,,3.0,,,,,ZA-GP,
48,Clinix Solomon Stix Morewa Mem Hospital (Selby Park),28.04278,-26.2208,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,"Physical rehabilitation, Physiotherapy, Occupational Therapy, Psychology, Speech Therapy, Dietary,Psychiatry and Occupational Services , Social Support and Medical support",,642.0,,55.0,,,,5.0,,,,https://www.clinix.co.za/solomon-stix-morewa-memorial,ZA-GP,
49,Clinix GM Pitje Day Hospital,28.035152,-26.124564,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,37.0,,,,,,,,,,https://www.clinix.co.za/gm-pitje-day-hospital,ZA-GP,
50,Fordsburg Hospital,28.02157,-26.2099,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,,Relevant Private Facility services – visit their website for more details,,30.0,,30.0,,,,4.0,,,,http://fordsburgclinic.co.za/,ZA-GP,
51,Life Brenthurst Hospital,28.0466,-26.1842,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,233.0,,60.0,,,,8.0,,,,,ZA-GP,
52,Netcare Garden City Hospital,28.006889,-26.1973,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,363.0,,104.0,,,,12.0,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Garden-City-Hospital,ZA-GP,
53,Netcare Mulbarton Hospital,28.05302,-26.298,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,216.0,,70.0,,,,5.0,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Mulbarton-Hospital,ZA-GP,
54,Netcare Park Lane Hospital,28.04638,-26.1821,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,204.0,,40.0,,,,11.0,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Park-Lane-Hospital,ZA-GP,
55,Netcare Rand Hospital,28.04998,-26.1852,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,144.0,,50.0,,,,5.0,,,,https://www.saprivatehospitals.com/gauteng/rand-hospital-netcare-in-johannesburg-gauteng/,ZA-GP,
56,NHN Lenmed Ahmed Katrada Private Hospital,27.86371,-26.3278,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg G Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,254.0,,,,,,,,,,https://www.lenmed.co.za/hospital/ahmed-kathrada-private-hospital-lenmed/,ZA-GP,
57,Lenmed Clinic Hospital,27.863505,-26.327091,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg G Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,192.0,,72.0,,,,5.0,,,,,,
58,NHN Lenmed Daxina Hospital,27.841045,-26.3818,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg G Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.lenmed.co.za/hospital/daxina-private-hospital-lenmed/,ZA-GP,
59,Mediclinic Legae Hospital,28.03835,-25.5251,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 1 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,147.0,,38.0,,,,4.0,,,,https://www.mediclinic.co.za/en/legae/home.html,ZA-GP,
60,Netcare Akasia Hospital,28.10867,-25.6742,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 1 HealthSub-District,YES,Relevant Private Facility services – visit their website for more details,,162.0,,52.0,,,,5.0,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Akasia-Hospital,ZA-GP,
61,Wisani Med Centre Hospital,27.97686,-25.6115,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 1 Health Sub-District,,Relevant Private Facility services – visit their website for more details,,12.0,,0.0,,,,0.0,,,,,ZA-GP,
62,Life Little Company of Mary Hospital,28.216357,-25.77161,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,214.0,,85.0,,,,8.0,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/pretoria/life-groenkloof-hospital/,ZA-GP,
63,Netcare Montana Hospital,28.24418,-25.6752,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 2 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,170.0,,60.0,,,,6.0,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Montana-Hospital,ZA-GP,
64,Astrid Hospital,28.209688,-25.7475,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
65,Curamed Hospital,28.203429,-25.7551,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
66,Life Eugene Marais Hospital,28.193922,-25.71,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,364.0,,129.0,,,,13.0,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/pretoria/life-eugene-marais-hospital/,ZA-GP,
67,Life Groenkloof Hospital,28.2164,-25.7715,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
68,Louis Pasteur Hospital,28.19666,-25.7485,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,240.0,,34.0,,,,5.0,,,,https://www.louispasteur.co.za/,ZA-GP,
69,Pretoria Gynae Hospital,28.20565,-25.7562,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.mediclinic.co.za/en/gynaecological-hospital/home.html,ZA-GP,
70,Mediclinic Heart Hospital,28.20677,-25.7491,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,90.0,,20.0,,,,3.0,,,,https://www.mediclinic.co.za/en/heart-hospital/home.html,ZA-GP,
71,Mediclinic Medforum Hospital,28.199664,-25.7468,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,204.0,,52.0,,,,14.0,,,,https://www.mediclinic.co.za/en/medforum/home.html,ZA-GP,
72,Mediclinic Muelmed Hospital,28.20768,-25.7469,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,222.0,,48.0,,,,8.0,,,,https://www.mediclinic.co.za/en/muelmed/home.html,ZA-GP,
73,Netcare Bougainville Hospital,28.1535,-25.7152,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,60.0,,36.0,,,,3.0,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Bougainville-Hospital,ZA-GP,
74,Netcare Femina Hospital,28.20037,-25.7401,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,134.0,,25.0,,,,5.0,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Femina-Hospital,ZA-GP,
75,Netcare Jakaranda Hospital,28.21182,-25.7595,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,130.0,,30.0,,,,6.0,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Jakaranda-Hospital,ZA-GP,
