GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),NATIONALSYSTEMTYPE (CODE),NATIONALSYSTEMTYPE (DISPLAY),NATIONALSYSTEMTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001446,"Age-standardized death rates, liver cirrhosis, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2378,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,10.19,10.19000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,2.83,2.83000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,6.34,6.34000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,1.83,1.83000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,1.20,1.20000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,2.35,2.35000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,1.84,1.84000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,0.67,0.67000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,2.38,2.38000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,1.47,1.47000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,10.98,10.98000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,6.55,6.55000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,1.13,1.13000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,3.60,3.60000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,1.61,1.61000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,11.18,11.18000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,2.48,2.48000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,19.11,19.11000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,1.56,1.56000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,0.95,0.95000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,2.20,2.20000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,2.39,2.39000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,7.37,7.37000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,1.97,1.97000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,2.01,2.01000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,12.58,12.58000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,1.10,1.10000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,2.74,2.74000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,1.47,1.47000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,3.15,3.15000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,1.83,1.83000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,1.67,1.67000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,13.62,13.62000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,3.86,3.86000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,1.24,1.24000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,2.14,2.14000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,23.72,23.72000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,1.31,1.31000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,0.74,0.74000,,,,,
SA_0000001649,"National drinking guidelines, 2010",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2358,,,,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,,,,ZAF,South Africa,,,,,,,,,,,yes,,,,,,
SA_0000001651,Monitoring,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2362,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,ZAF,South Africa,,,,,,,,,,,Yes,,,,,,
SA_0000001653,"Treatment, services",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1412,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,ZAF,South Africa,,,,,,,,,,,Yes,,,,,,
SA_0000001676,Production in 1000s hectolitres,0,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"30,700",30.70000,,,,,
SA_0000001676,Production in 1000s hectolitres,0,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"30,250",30.25000,,,,,
SA_0000001676,Production in 1000s hectolitres,0,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"30,889",30.88900,,,,,
SA_0000001676,Production in 1000s hectolitres,0,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"31,800",31.80000,,,,,
SA_0000001676,Production in 1000s hectolitres,0,,,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"32,827",32.82700,,,,,
SA_0000001676,Production in 1000s hectolitres,0,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"33,571",33.57100,,,,,
SA_0000001676,Production in 1000s hectolitres,0,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,ZAF,South Africa,,,,,,,,,,,,,,,,,
SA_0000001676,Production in 1000s hectolitres,0,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,ZAF,South Africa,,,,,,,,,,,,,,,,,
SA_0000001676,Production in 1000s hectolitres,0,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,ZAF,South Africa,,,,,,,,,,,,,,,,,
SA_0000001676,Production in 1000s hectolitres,0,,,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,,,,ZAF,South Africa,,,,,,,,,,,,,,,,,
SA_0000001677,Imports in 1000s hectolitres,0,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,,,,,,,,,,659,659.00000,,,,,
SA_0000001677,Imports in 1000s hectolitres,0,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,,,,,,,,,,754,754.00000,,,,,
SA_0000001677,Imports in 1000s hectolitres,0,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,783,783.00000,,,,,
SA_0000001677,Imports in 1000s hectolitres,0,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"1,007",1.00700,,,,,
SA_0000001677,Imports in 1000s hectolitres,0,,,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"1,113",1.11300,,,,,
SA_0000001677,Imports in 1000s hectolitres,0,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"1,129",1.12900,,,,,
SA_0000001677,Imports in 1000s hectolitres,0,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"1,252",1.25200,,,,,
SA_0000001677,Imports in 1000s hectolitres,0,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"1,903",1.90300,,,,,
SA_0000001679,Exports of beer (barley) in 1000s hectolitres,0,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,,,,,,,,,,678,678.00000,,,,,
SA_0000001678,Sales of beer in 1000s hectolitres,0,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"23,481",23.48100,,,,,
SA_0000001684,Sales of wine in 1000s hectolitres,0,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"3,906",3.90600,,,,,
SA_0000001687,Exports of spirits in 1000s hectolitres,0,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,,,,,,,,,,50,50.00000,,,,,
SA_0000001686,Exports of wine (grape) in 1000s hectolitres,0,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"1,410",1.41000,,,,,
SA_0000001678,Sales of beer in 1000s hectolitres,0,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"23,015",23.01500,,,,,
SA_0000001687,Exports of spirits in 1000s hectolitres,0,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,,,,,,,,,,124,124.00000,,,,,
SA_0000001684,Sales of wine in 1000s hectolitres,0,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"3,972",3.97200,,,,,
SA_0000001686,Exports of wine (grape) in 1000s hectolitres,0,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"1,773",1.77300,,,,,
SA_0000001679,Exports of beer (barley) in 1000s hectolitres,0,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,,,,ZAF,South Africa,,,,,,,,,,,789,789.00000,,,,,
SA_0000001684,Sales of wine in 1000s hectolitres,0,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"3,884",3.88400,,,,,
SA_0000001687,Exports of spirits in 1000s hectolitres,0,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,119,119.00000,,,,,
SA_0000001679,Exports of beer (barley) in 1000s hectolitres,0,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"1,123",1.12300,,,,,
SA_0000001686,Exports of wine (grape) in 1000s hectolitres,0,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"2,177",2.17700,,,,,
SA_0000001678,Sales of beer in 1000s hectolitres,0,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"23,349",23.34900,,,,,
SA_0000001678,Sales of beer in 1000s hectolitres,0,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"24,050",24.05000,,,,,
SA_0000001679,Exports of beer (barley) in 1000s hectolitres,0,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"1,557",1.55700,,,,,
SA_0000001684,Sales of wine in 1000s hectolitres,0,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"3,487",3.48700,,,,,
SA_0000001687,Exports of spirits in 1000s hectolitres,0,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,,,,,,,,,,137,137.00000,,,,,
SA_0000001686,Exports of wine (grape) in 1000s hectolitres,0,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"2,394",2.39400,,,,,
SA_0000001678,Sales of beer in 1000s hectolitres,0,,,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"24,250",24.25000,,,,,
SA_0000001686,Exports of wine (grape) in 1000s hectolitres,0,,,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,,,,ZAF,South Africa,,,,,,,,,,,"2,677",2.67700,,,,,
